title,criterion_director,criterion_year,criterion_country,imdb_tconst,imdb_year,imdb_runtime_minutes,match_method,confidence_score,title_similarity,director_similarity,year_similarity,actor_count
Lime Kiln Club Field Day archival assembly (Donald Sosin score),Edwin Middleton and T. Hayes Hunter,1913,United States,tt4288356,1913,65,fuzzy_canonical,90.0,0.8787,0.8882,1.0,10
Lime Kiln Club Field Day archival assembly (Trevor Mathison score),Edwin Middleton and T. Hayes Hunter,1913,United States,tt4288356,1913,65,fuzzy_canonical,89.8,0.875,0.8882,1.0,10
Shoes,Lois Weber,1916,United States,tt0007340,1916,60,fuzzy_canonical,100.0,1.0,1.0,1.0,8
The Kid,Charles Chaplin,1921,United States,tt0012349,1921,68,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Dr. Jack,Fred C. Newmeyer,1922,United States,tt0013075,1922,60,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Grandma's Boy,Fred C. Newmeyer,1922,United States,tt0013201,1922,60,fuzzy_canonical,100.0,1.0,1.0,1.0,10
A Woman of Paris,Charles Chaplin,1923,United States,tt0014624,1923,82,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Safety Last!,Fred Newmeyer and Sam Taylor,1923,United States,tt0014429,1923,74,fuzzy_canonical,94.0,1.0,0.8295,1.0,10
Why Worry?,Fred Newmeyer and Sam Taylor,1923,United States,tt0014611,1923,63,fuzzy_canonical,94.0,1.0,0.8295,1.0,10
Girl Shy,Fred Newmeyer and Sam Taylor,1924,United States,tt0014945,1924,87,fuzzy_canonical,94.0,1.0,0.8295,1.0,10
Body and Soul,Oscar Micheaux,1925,United States,tt0015634,1925,102,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Go West,Buster Keaton,1925,United States,tt0015863,1925,83,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Stella Dallas,Henry King,1925,United States,tt0016395,1925,110,fuzzy_canonical,100.0,1.0,1.0,1.0,10
THE GOLD RUSH: 1925 Version,Charles Chaplin,1925,United States,tt0015864,1925,95,fuzzy_canonical,95.0,0.9,1.0,1.0,10
The Freshman,Sam Taylor and Fred Newmeyer,1925,United States,tt0015841,1925,77,fuzzy_canonical,95.5,1.0,0.8714,1.0,10
Battling Butler,Buster Keaton,1926,United States,tt0016630,1926,77,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Ten Nights in a Bar Room,Roy Calnek,1926,United States,tt0139641,1926,63,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The General,Buster Keaton and Clyde Bruckman,1926,United States,tt0017925,1926,78,fuzzy_canonical,95.8,1.0,0.8813,1.0,10
Downhill,Alfred Hitchcock,1927,United Kingdom,tt0017825,1927,110,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Kid Brother,Ted Wilde,1927,United States,tt0018051,1927,82,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The King of Kings,Cecil B. DeMille,1927,United States,tt0018054,1927,160,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Lodger: A Story of the London Fog,Alfred Hitchcock,1927,United Kingdom,tt0017075,1927,92,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Unknown,Tod Browning,1927,United States,tt0018528,1927,68,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Speedy,Ted Wilde,1928,United States,tt0019412,1928,85,fuzzy_canonical,100.0,1.0,1.0,1.0,10
"Steamboat Bill, Jr.",Charles Reisner,1928,United States,tt0019421,1928,70,fuzzy_canonical,100.0,1.0,1.0,1.0,7
The Circus,Charles Chaplin,1928,United States,tt0018773,1928,72,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Piccadilly,E. A. Dupont,1929,United Kingdom,tt0020269,1929,92,fuzzy_canonical,92.2,1.0,0.7767,1.0,10
The Scar of Shame,Frank Perugini,1929,United States,tt0018362,1929,68,fuzzy_canonical,99.0,1.0,0.9714,1.0,9
Welcome Danger,Clyde Bruckman,1929,United States,tt0020572,1929,113,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Feet First,Clyde Bruckman,1930,United States,tt0020876,1930,93,fuzzy_canonical,100.0,1.0,1.0,1.0,10
City Lights,Charles Chaplin,1931,United States,tt0021749,1931,87,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Exile,Oscar Micheaux,1931,United States,tt0021844,1931,93,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Front Page,Lewis Milestone,1931,United States,tt0021890,1931,101,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Working Girls,Dorothy Arzner,1931,United States,tt0022578,1931,77,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Man Wanted,William Dieterle,1932,United States,tt0023180,1932,62,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Movie Crazy,Clyde Bruckman,1932,United States,tt0023241,1932,84,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Girl from Chicago,Oscar Micheaux,1932,United States,tt0022941,1932,70,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Most Dangerous Game,Ernest B. Schoedsack and Irving Pichel,1932,United States,tt0023238,1932,63,fuzzy_canonical,96.6,1.0,0.9027,1.0,10
Wedding Rehearsal,Alexander Korda,1932,United Kingdom,tt0024757,1932,84,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Emperor Jones,Dudley Murphy,1933,United States,tt0023985,1933,72,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Private Life of Henry VIII,Alexander Korda,1933,United Kingdom,tt0024473,1933,97,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Cat’s Paw,Sam Taylor,1934,United States,tt0024961,1934,102,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Man Who Knew Too Much,Alfred Hitchcock,1934,United Kingdom,tt0025452,1934,75,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Private Life of Don Juan,Alexander Korda,1934,United Kingdom,tt0025681,1934,89,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Return of Bulldog Drummond,Walter Summers,1934,United States,tt0025710,1934,73,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Rise of Catherine the Great,Paul Czinner,1934,United Kingdom,tt0024962,1934,95,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Scarlet Pimpernel,Harold Young,1934,United Kingdom,tt0025748,1934,97,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Sanders of the River,Zoltán Korda,1935,United Kingdom,tt0026966,1935,85,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The 39 Steps,Alfred Hitchcock,1935,United Kingdom,tt0026029,1935,86,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Ghost Goes West,René Clair,1935,United Kingdom,tt0026406,1935,95,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Whole Town's Talking,John Ford,1935,United States,tt0027214,1935,93,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Forget Me Not,Zoltán Korda,1936,United Kingdom,tt0027635,1936,73,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Men Are Not Gods,Walter Reisch,1936,United Kingdom,tt0027954,1936,82,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Modern Times,Charles Chaplin,1936,United States,tt0027977,1936,87,fuzzy_canonical,100.0,1.0,1.0,1.0,10
More Than a Secretary,Alfred E. Green,1936,United States,tt0027985,1936,77,fuzzy_canonical,100.0,1.0,1.0,1.0,10
