title,criterion_director,criterion_year,criterion_country,imdb_tconst,imdb_year,imdb_runtime_minutes,match_method,confidence_score,title_similarity,director_similarity,year_similarity,actor_count
A Man There Was,Victor Sjöström,1917,Sweden,tt0008663,1917,65,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Outlaw and His Wife,Victor Sjöström,1918,Sweden,tt0008879,1918,72,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Phantom Carriage,Victor Sjöström,1921,Sweden,tt0012364,1921,107,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Saga of Gösta Berling,Mauritz Stiller,1924,United States,tt0014109,1924,183,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Master of the House,Carl Th. Dreyer,1925,Denmark,tt0015768,1925,111,fuzzy_canonical,97.2,1.0,0.9188,1.0,10
Swedenhielms,Gustaf Molander,1935,Sweden,tt0027062,1935,88,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Count of the Old Town,Edvin Adolphson and Sigurd Wallén,1935,Sweden,tt0026737,1935,83,fuzzy_canonical,96.2,1.0,0.8909,1.0,10
Walpurgis Night,Gustaf Edgren,1935,Sweden,tt0027164,1935,75,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Intermezzo,Gustaf Molander,1936,Sweden,tt0027796,1936,86,fuzzy_canonical,100.0,1.0,1.0,1.0,10
A Woman’s Face,Gustaf Molander,1938,Sweden,tt0030337,1938,100,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Dollar,Gustaf Molander,1938,Sweden,tt0030066,1938,78,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Only One Night,Gustaf Molander,1939,Sweden,tt0031270,1939,90,fuzzy_canonical,100.0,1.0,1.0,1.0,10
June Night,Per Lindberg,1940,Sweden,tt0032655,1940,88,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Day of Wrath,Carl Th. Dreyer,1943,Denmark,tt0036506,1943,97,fuzzy_canonical,97.2,1.0,0.9188,1.0,10
Torment,Alf Sjöberg,1944,Sweden,tt0036914,1944,95,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Crisis,Ingmar Bergman,1946,Sweden,tt0038675,1946,93,fuzzy_canonical,100.0,1.0,1.0,1.0,10
A Ship to India,Ingmar Bergman,1947,Sweden,tt0039834,1947,98,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Eva,Gustaf Molander,1948,Sweden,tt0040330,1948,98,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Port of Call,Ingmar Bergman,1948,Sweden,tt0040418,1948,100,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Thirst,Ingmar Bergman,1949,Sweden,tt0041998,1949,83,fuzzy_canonical,100.0,1.0,1.0,1.0,10
