title,criterion_director,criterion_year,criterion_country,imdb_tconst,imdb_year,imdb_runtime_minutes,match_method,confidence_score,title_similarity,director_similarity,year_similarity,actor_count
The Dumb Girl of Portici,Lois Weber and Phillips Smalley,1916,United States,tt0006614,1916,112,fuzzy_canonical,95.3,1.0,0.8645,1.0,10
LA ROUE: Part 1,Abel Gance,1923,France,tt0014417,1923,417,fuzzy_canonical,95.0,0.9,1.0,1.0,8
LA ROUE: Part 2,Abel Gance,1923,France,tt0014417,1923,417,fuzzy_canonical,95.0,0.9,1.0,1.0,8
LA ROUE: Part 3,Abel Gance,1923,France,tt0014417,1923,417,fuzzy_canonical,95.0,0.9,1.0,1.0,8
LA ROUE: Part 4,Abel Gance,1923,France,tt0014417,1923,417,fuzzy_canonical,95.0,0.9,1.0,1.0,8
The Italian Straw Hat,René Clair,1928,France,tt0018523,1928,108,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Passion of Joan of Arc,Carl Th. Dreyer,1928,France,tt0019254,1928,114,fuzzy_canonical,97.2,1.0,0.9188,1.0,10
Two Timid Souls,René Clair,1928,France,tt0018826,1928,87,fuzzy_canonical,100.0,1.0,1.0,1.0,10
David Golder,Julien Duvivier,1930,France,tt0020814,1931,86,fuzzy_canonical,92.5,1.0,1.0,0.5,10
People on Sunday,Robert Siodmak and Edgar G. Ulmer,1930,Germany,tt0020163,1930,73,fuzzy_canonical,96.1,1.0,0.8875,1.0,10
Under the Roofs of Paris,René Clair,1930,France,tt0021409,1930,96,fuzzy_canonical,100.0,1.0,1.0,1.0,10
La chienne,Jean Renoir,1931,France,tt0021739,1931,95,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Le million,René Clair,1931,France,tt0022150,1931,91,fuzzy_canonical,100.0,1.0,1.0,1.0,10
M,Fritz Lang,1931,Germany,tt0022100,1931,99,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Marius,Alexander Korda,1931,France,tt0022125,1931,130,fuzzy_canonical,100.0,1.0,1.0,1.0,10
À nous la liberté,René Clair,1931,France,tt0022599,1931,83,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Boudu Saved from Drowning,Jean Renoir,1932,France,tt0022718,1932,85,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Fanny,Marc Allégret,1932,France,tt0022877,1932,125,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Poil de carotte,Julien Duvivier,1932,France,tt0023345,1932,91,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Vampyr,Carl Th. Dreyer,1932,Denmark,tt0023649,1932,75,fuzzy_canonical,97.2,1.0,0.9188,1.0,10
Wooden Crosses,Raymond Bernard,1932,France,tt0022787,1932,115,fuzzy_canonical,100.0,1.0,1.0,1.0,10
La tête d’un homme,Julien Duvivier,1933,France,tt0024710,1933,90,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Quatorze Juillet,René Clair,1933,France,tt0024480,1933,86,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Testament of Dr. Mabuse,Fritz Lang,1933,Germany,tt0023563,1933,122,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Les Misérables - Part One: Tempest in a Skull,Raymond Bernard,1934,France,tt0025509,1934,281,fuzzy_canonical,93.3,0.8667,1.0,1.0,10
"Les Misérables - Part Three: Freedom, Dear Freedom",Raymond Bernard,1934,France,tt0025509,1934,281,fuzzy_canonical,93.0,0.8609,1.0,1.0,10
Les Misérables - Part Two: The Thénardiers,Raymond Bernard,1934,France,tt0025509,1934,281,fuzzy_canonical,93.6,0.8718,1.0,1.0,10
L’Atalante,Jean Vigo,1934,France,tt0024844,1934,89,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Carnival in Flanders,Jacques Feyder,1935,France,tt0026564,1935,95,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Toni,Jean Renoir,1935,France,tt0025898,1935,84,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Anne-Marie,Raymond Bernard,1936,France,tt0027296,1936,109,fuzzy_canonical,100.0,1.0,1.0,1.0,10
César,Marcel Pagnol,1936,France,tt0027489,1936,168,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Crime of Monsieur Lange,Jean Renoir,1936,France,tt0027478,1936,77,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Lower Depths,Jean Renoir,1936,France,tt0027336,1936,90,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Story of a Cheat,Sacha Guitry,1936,France,tt0028201,1936,81,fuzzy_canonical,100.0,1.0,1.0,1.0,10
They Were Five,Julien Duvivier,1936,France,tt0027342,1936,100,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Désiré,Sacha Guitry,1937,France,tt0150430,1937,92,fuzzy_canonical,100.0,1.0,1.0,1.0,8
Pépé le moko,Julien Duvivier,1937,France,tt0029453,1937,94,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Pearls of the Crown,Sacha Guitry,1937,France,tt0029394,1937,105,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Un carnet de bal,Julien Duvivier,1937,France,tt0029706,1937,144,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Hôtel du Nord,Marcel Carné,1938,France,tt0030252,1938,83,fuzzy_canonical,100.0,1.0,1.0,1.0,10
La bête humaine,Jean Renoir,1938,France,tt0029957,1938,100,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Quadrille,Sacha Guitry,1938,France,tt0030642,1938,95,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Baker’s Wife,Marcel Pagnol,1938,France,tt0030127,1938,133,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Le jour se lève,Marcel Carné,1939,France,tt0031514,1939,93,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The End of the Day,Julien Duvivier,1939,France,tt0031309,1939,99,fuzzy_canonical,97.0,0.9408,1.0,1.0,10
The Rules of the Game,Jean Renoir,1939,France,tt0031885,1939,110,fuzzy_canonical,100.0,1.0,1.0,1.0,10
All That Money Can Buy (a.k.a. The Devil and Daniel Webster),William Dieterle,1941,United States,tt0033532,1941,107,fuzzy_canonical,93.9,0.8772,1.0,1.0,10
Remorques,Jean Grémillon,1941,France,tt0034093,1941,91,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Cat People,Jacques Tourneur,1942,United States,tt0034587,1942,73,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Le mariage de Chiffon,Claude Autant-Lara,1942,France,tt0035039,1942,103,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Les visiteurs du soir,Marcel Carné,1942,France,tt0035521,1942,115,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Lettres d’amour,Claude Autant-Lara,1942,France,tt0154767,1942,110,fuzzy_canonical,100.0,1.0,1.0,1.0,10
L’assassin habite au 21,Henri-Georges Clouzot,1942,France,tt0034478,1942,83,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Douce,Claude Autant-Lara,1943,France,tt0035823,1943,90,fuzzy_canonical,100.0,1.0,1.0,1.0,10
La main du diable,Maurice Tourneur,1943,France,tt0035017,1943,80,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Le Corbeau,Henri-Georges Clouzot,1943,France,tt0035753,1943,92,fuzzy_canonical,100.0,1.0,1.0,1.0,10
