title,criterion_director,criterion_year,criterion_country,imdb_tconst,imdb_year,imdb_runtime_minutes,match_method,confidence_score,reason
The Daughter of Dawn,Norbert A. Myles,1920,United States,tt0191066,1920,80,fuzzy_canonical,100.0,has_credits_no_shared_actor
Within Our Gates,Oscar Micheaux,1920,United States,tt0011870,1920,79,fuzzy_canonical,100.0,has_credits_no_shared_actor
Häxan,Benjamin Christensen,1922,Denmark,tt0013257,1922,91,fuzzy_canonical,100.0,has_credits_no_shared_actor
Grass: A Nation’s Battle for Life,Merian C. Cooper and Ernest B. Schoedsack,1925,United States,tt0015873,1925,71,fuzzy_canonical,95.7,has_credits_no_shared_actor
The Adventures of Prince Achmed,Lotte Reiniger,1926,Germany,tt0015532,1926,80,fuzzy_canonical,100.0,no_actor_credits_in_imdb
"The Olympic Games, Amsterdam, 1928",Wilhelm Prager,1928,Italy,tt0255441,1928,110,fuzzy_canonical,100.0,has_credits_no_shared_actor
The White Stadium,Arnold Fanck and Othmar Gurtner,1928,Switzerland,tt0194523,1928,124,fuzzy_canonical,95.7,has_credits_no_shared_actor
The Old and the New,Sergei Eisenstein and Grigori Aleksandrov,1929,Soviet Union,tt0020451,1929,121,fuzzy_canonical,95.9,has_credits_no_shared_actor
Limite,Mário Peixoto,1931,Brazil,tt0022080,1931,114,fuzzy_canonical,100.0,has_credits_no_shared_actor
Evergreen,Victor Saville,1934,United Kingdom,tt0025094,1934,94,fuzzy_canonical,100.0,has_credits_no_shared_actor
Man of Aran,Robert J. Flaherty,1934,United Kingdom,tt0025456,1934,76,fuzzy_canonical,100.0,has_credits_no_shared_actor
Redes,Emilio Gómez Muriel…,1936,Mexico,tt0028165,1936,65,fuzzy_canonical,100.0,has_credits_no_shared_actor
Olympia Part One: Festival of the Nations,Leni Riefenstahl,1938,Germany,tt0030522,1938,111,fuzzy_canonical,100.0,has_credits_no_shared_actor
Olympia Part Two: Festival of Beauty,Leni Riefenstahl,1938,Germany,tt0030523,1938,90,fuzzy_canonical,100.0,has_credits_no_shared_actor
Prisioneros de la tierra,Mario Soffici,1939,Argentina,tt0176049,1939,85,fuzzy_canonical,100.0,has_credits_no_shared_actor
Two Girls on the Street,André de Toth,1939,Hungary,tt0031544,1939,79,fuzzy_canonical,100.0,has_credits_no_shared_actor
Dirty Gertie from Harlem U.S.A.,Spencer Williams,1946,United States,tt0038480,1946,65,fuzzy_canonical,100.0,has_credits_no_shared_actor
Fight Without Hate,André Michel,1948,France,tt7254920,1948,84,fuzzy_canonical,100.0,has_credits_no_shared_actor
Germany Year Zero,Roberto Rossellini,1948,Italy,tt0039417,1948,78,fuzzy_canonical,100.0,has_credits_no_shared_actor
Kalpana,Uday Shankar,1948,India,tt0311384,1948,122,fuzzy_canonical,100.0,has_credits_no_shared_actor
