title,criterion_director,criterion_year,criterion_country,imdb_tconst,imdb_year,imdb_runtime_minutes,match_method,confidence_score,title_similarity,director_similarity,year_similarity,actor_count
"I Graduated, But...",Yasujiro Ozu,1929,Japan,tt0019796,1929,70,fuzzy_canonical,100.0,1.0,1.0,1.0,8
"I Flunked, But...",Yasujiro Ozu,1930,Japan,tt0021283,1930,65,fuzzy_canonical,100.0,1.0,1.0,1.0,10
That Night’s Wife,Yasujiro Ozu,1930,Japan,tt0021406,1930,65,fuzzy_canonical,100.0,1.0,1.0,1.0,6
Walk Cheerfully,Yasujiro Ozu,1930,Japan,tt0020980,1930,96,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Lady and the Beard,Yasujiro Ozu,1931,Japan,tt0022048,1931,74,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Neighbor's Wife and Mine,Heinosuke Gosho,1931,Japan,tt0022105,1931,64,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Tokyo Chorus,Yasujiro Ozu,1931,Japan,tt0022485,1931,90,fuzzy_canonical,100.0,1.0,1.0,1.0,10
"I Was Born, But . . .",Yasujiro Ozu,1932,Japan,tt0023634,1932,90,fuzzy_canonical,100.0,1.0,1.0,1.0,10
No Blood Relation,Mikio Naruse,1932,Japan,tt0023261,1932,79,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Where Now Are the Dreams of Youth?,Yasujiro Ozu,1932,Japan,tt0023450,1932,85,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Apart from You,Mikio Naruse,1933,Japan,tt0024214,1933,64,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Dragnet Girl,Yasujiro Ozu,1933,Japan,tt0024120,1933,100,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Every-Night Dreams,Mikio Naruse,1933,Japan,tt0024793,1933,64,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Japanese Girls at the Harbor,Hiroshi Shimizu,1933,Japan,tt0160535,1933,72,fuzzy_canonical,100.0,1.0,1.0,1.0,7
Passing Fancy,Yasujiro Ozu,1933,Japan,tt0023937,1933,100,fuzzy_canonical,100.0,1.0,1.0,1.0,10
A Mother Should Be Loved,Yasujiro Ozu,1934,Japan,tt0025214,1934,93,fuzzy_canonical,100.0,1.0,1.0,1.0,10
A Story of Floating Weeds,Yasujiro Ozu,1934,Japan,tt0025929,1934,86,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Street Without End,Mikio Naruse,1934,Japan,tt0025338,1934,89,fuzzy_canonical,100.0,1.0,1.0,1.0,10
An Inn in Tokyo,Yasujiro Ozu,1935,Japan,tt0027118,1935,79,fuzzy_canonical,100.0,1.0,1.0,1.0,7
Burden of Life,Heinosuke Gosho,1935,Japan,tt0026549,1935,66,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Mr. Thank You,Hiroshi Shimizu,1936,Japan,tt0027307,1936,76,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Osaka Elegy,Kenji Mizoguchi,1936,Japan,tt0028021,1936,90,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Sisters of the Gion,Kenji Mizoguchi,1936,Japan,tt0027672,1936,95,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Only Son,Yasujiro Ozu,1936,Japan,tt0027752,1936,82,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Humanity and Paper Balloons,Sadao Yamanaka,1937,Japan,tt0029314,1937,86,fuzzy_canonical,100.0,1.0,1.0,1.0,10
What Did the Lady Forget?,Yasujiro Ozu,1937,Japan,tt0029557,1937,71,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Masseurs and a Woman,Hiroshi Shimizu,1938,Japan,tt0426900,1938,66,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Story of the Last Chrysanthemum,Kenji Mizoguchi,1939,Japan,tt0032156,1939,148,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Brothers and Sisters of the Toda Family,Yasujiro Ozu,1941,Japan,tt0034298,1941,105,fuzzy_canonical,92.5,0.8493,1.0,1.0,10
Ornamental Hairpin,Hiroshi Shimizu,1941,Japan,tt0427424,1941,70,fuzzy_canonical,100.0,1.0,1.0,1.0,10
THE 47 RONIN: Part 1,Kenji Mizoguchi,1941,Japan,tt0033654,1941,241,fuzzy_canonical,97.3,0.9462,1.0,1.0,10
THE 47 RONIN: Part 2,Kenji Mizoguchi,1941,Japan,tt0033654,1941,241,fuzzy_canonical,97.3,0.9462,1.0,1.0,10
There Was a Father,Yasujiro Ozu,1942,Japan,tt0034591,1942,94,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Sanshiro Sugata,Akira Kurosawa,1943,Japan,tt0036400,1943,79,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Living Magoroku,Keisuke Kinoshita,1943,Japan,tt0036034,1943,89,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Army,Keisuke Kinoshita,1944,Japan,tt0037227,1944,87,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Jubilation Street,Keisuke Kinoshita,1944,Japan,tt0036977,1944,73,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Most Beautiful,Akira Kurosawa,1944,Japan,tt0036947,1944,85,fuzzy_canonical,100.0,1.0,1.0,1.0,10
"Sanshiro Sugata, Part Two",Akira Kurosawa,1945,Japan,tt0038268,1945,83,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Morning for the Osone Family,Keisuke Kinoshita,1946,Japan,tt0038810,1946,81,fuzzy_canonical,100.0,1.0,1.0,1.0,10
No Regrets for Our Youth,Akira Kurosawa,1946,Japan,tt0039090,1946,110,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Girl I Loved,Keisuke Kinoshita,1946,Japan,tt0039091,1946,75,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Utamaro and His Five Women,Kenji Mizoguchi,1946,Japan,tt0039074,1946,106,fuzzy_canonical,100.0,1.0,1.0,1.0,10
One Wonderful Sunday,Akira Kurosawa,1947,Japan,tt0039871,1947,108,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Phoenix,Keisuke Kinoshita,1947,Japan,tt0039406,1947,82,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Record of a Tenement Gentleman,Yasujiro Ozu,1947,Japan,tt0039651,1947,72,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Snow Trail,Senkichi Taniguchi,1947,Japan,tt0039423,1947,89,fuzzy_canonical,100.0,1.0,1.0,1.0,10
A Hen in the Wind,Yasujiro Ozu,1948,Japan,tt0040505,1948,84,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Apostasy,Keisuke Kinoshita,1948,Japan,tt0040413,1948,99,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Drunken Angel,Akira Kurosawa,1948,Japan,tt0040979,1948,102,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Portrait,Keisuke Kinoshita,1948,Japan,tt0040782,1948,73,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Women of the Night,Kenji Mizoguchi,1948,Japan,tt0040980,1948,75,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Broken Drum,Keisuke Kinoshita,1949,Japan,tt0042056,1949,108,fuzzy_canonical,92.9,0.8578,1.0,1.0,10
Here’s to the Young Lady,Keisuke Kinoshita,1949,Japan,tt0041713,1949,89,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Late Spring,Yasujiro Ozu,1949,Japan,tt0041154,1949,110,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Stray Dog,Akira Kurosawa,1949,Japan,tt0041699,1949,122,fuzzy_canonical,100.0,1.0,1.0,1.0,10
"Yotsuya Kaidan, Part I",Keisuke Kinoshita,1949,Japan,tt0042059,1949,85,fuzzy_canonical,96.7,0.9333,1.0,1.0,10
"Yotsuya kaidan, Part II",Keisuke Kinoshita,1949,Japan,tt0042059,1949,85,fuzzy_canonical,96.4,0.9273,1.0,1.0,10
Rashomon,Akira Kurosawa,1950,Japan,tt0042876,1950,88,fuzzy_canonical,100.0,1.0,1.0,1.0,8
Scandal,Akira Kurosawa,1950,Japan,tt0042958,1950,105,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Munekata Sisters,Yasujiro Ozu,1950,Japan,tt0042762,1950,112,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Wedding Ring,Keisuke Kinoshita,1950,Japan,tt0042651,1950,96,fuzzy_canonical,100.0,1.0,1.0,1.0,7
Boyhood,Keisuke Kinoshita,1951,Japan,tt0044029,1951,111,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Carmen Comes Home,Keisuke Kinoshita,1951,Japan,tt0043699,1951,86,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Early Summer,Yasujiro Ozu,1951,Japan,tt0043313,1951,125,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Fireworks Over the Sea,Keisuke Kinoshita,1951,Japan,tt0044163,1951,122,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Ginza Cosmetics,Mikio Naruse,1951,Japan,tt0043587,1951,87,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Repast,Mikio Naruse,1951,Japan,tt0043801,1951,97,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Good Fairy,Keisuke Kinoshita,1951,Japan,tt0043159,1951,108,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Idiot,Akira Kurosawa,1951,Japan,tt0043614,1951,166,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Carmen’s Innocent Love,Keisuke Kinoshita,1952,Japan,tt0044793,1952,103,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Ikiru,Akira Kurosawa,1952,Japan,tt0044741,1952,143,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Mother,Mikio Naruse,1952,Japan,tt0044986,1952,98,fuzzy_canonical,100.0,1.0,1.0,1.0,10
