actor_nconst,actor_name
nm1235334,Ian MacKaye
nm1236801,Martín Serrano
nm12387250,Lyudmila Voynova-Krutikova
nm1390842,Shôsei Mutô
nm1816818,Hisayoshi Yoshizawa
nm1828965,John Hamilton
nm1860065,Ling Nam Lam
nm1921786,Billy Wine
nm3529569,Ray Johnson
nm3531185,Bobby Wayne Webb
nm3535066,Nana Mensah
nm3623216,Paul Taylor
nm4828872,Hui-Fen Chuang
nm4852221,Morris Hugh
nm4918569,Merve Dizdar
nm6530845,James Knowlson
nm6644314,Lanfranco Ceccarelli
nm6696533,Maia Rotman
nm8097440,Poppy Liu
nm8206305,Francisco Zaldua
nm8219035,Ernesto Gonzalez
nm8219200,Dipa Islam
nm9121760,Shiloh Verrico
nm9142807,Marti Sabine
nm13149796,Pimm Tripp-Allen
nm13253606,Theresa Blanchard
nm13259404,Avalon Fast
nm16177300,Ben Drysdale
nm1640374,Anne-Marie Royer
nm1645591,You
nm16459352,Joey D'Arelli
nm17524496,Claudine Watelet
nm1758567,Shôtarô Akagi
nm3450503,Takashi Sue
nm3472072,Michinori Yoshida
nm3475755,Al Williams
nm5101362,Wende Smith
nm5145979,Andrea Martin
nm5159687,Mathilde Mennetrier
nm5161526,Mathias Espallergues
nm9393723,Enrique Argüello
nm0392460,Jürgen Holtz
nm0392529,Tim Holt
nm0394693,Yukio Horikita
nm0394724,Masami Horiuchi
nm0395975,Mitsuaki Hoshino
nm0396881,Renee Houston
nm0397034,Andrea Bræin Hovig
nm0397580,Ronald Howard
nm0402814,Garland Hunter
nm0403325,Hugh Hurd
nm0404665,Robert Hutton
nm0404721,Julian Huxley
nm0406029,Albert Høeberg
nm0406791,Harold Ickes
nm0407855,Pola Illéry
nm0408081,Iman
nm0409312,Yukiko Inoue
nm0410609,Margarita Isabel
nm0411631,Jûzô Itami
nm0411714,Kiyomi Itô
nm0411733,Ryûsei Itô
nm0416166,Nathalie Jem
nm0416523,Gerald James
nm0418786,Marthe Jarnias
nm0419182,Elzbieta Jasinska
nm0419589,Ernest Jay
nm0419935,Jeanne-Claude
nm0419984,Blandine Jeanson
nm0420923,Megs Jenkins
nm0421989,Klára Jerneková
nm0424167,Gottfried John
nm0424318,Glynis Johns
nm0426020,Rafer Johnson
nm0430865,Margaret Joslin
nm0430991,Paulo José
nm0431161,Jean-Paul Jourdàa
nm0431641,Odette Joyeux
nm0433267,Claude Jutra
nm0434223,Jane Kaczmarek
nm0437482,Ryûnosuke Kaneda
nm0438854,Karamana Janardanan Nair
nm0438939,George Karas
nm0440472,Kaoko Kase
nm0441038,Shunji Kasuga
nm0441547,Jun Katsumura
nm0447499,Rachel Kempson
nm0447571,Bobby Kendall
nm0447689,Mieko Kondô
nm0448033,Florynce Kennedy
nm0448563,Don Kenny
nm0449197,Samia Kerbash
nm0451569,Ivan Kheil
nm0452102,Abbas Kiarostami
nm0453769,Takuzô Kumagai
nm0454584,Chris Thomas King
nm0455816,Hana Kino
nm0456334,Pat Kirck
nm0458877,Luce Klein
nm0460254,Jan Klusák
nm0462367,Marianne Koch
nm0463451,Eduard Kohout
nm0464485,Boris Kozhukhov
nm0465064,Tsang Kong
nm0465236,Toshiaki Konoe
nm0466776,Fritz Kortner
nm0470307,Henry Krauss
nm0472416,Mladen Krstevski
nm0474063,Harald Kuhlmann
nm0474935,Roshan Kumari
nm0475236,Seishirô Kuno
nm0477570,Ferenc Kállai
nm0478043,Josef Köstlinger
nm0478071,Gábor Kun
nm0479612,Matthew Labyorteaux
nm0480027,Catherine Lachens
nm0480963,Don LaFontaine
nm0481293,Soso Lagidze
nm0483166,Henri Lambert
nm0485701,Caroline Lang
nm0486144,Jean Lange
nm0486922,George Lannan
nm0490224,Frank Latimore
nm0491406,John Laurie
nm0491468,Gunnar Lauring
nm0492262,Tatyana Lavrova
nm0493391,Shaun Lawton
nm0494336,Michel Le Gouill
nm0494562,Joseph-Patrick Le Quidre
nm0496173,Agathe Leclerc
nm0496596,Lotte Ledl
nm0497635,Kaaren Lee
nm0500008,Gary Leib
nm0500020,Fritz Leiber Jr.
nm0501501,Geneviève Lemon
nm0503889,Karin Lesch
nm0503917,Jean Lescot
nm0504007,Boris Lyoskin
nm0506784,José Lewgoy
nm0509381,Frank Lieberman
nm0509776,Albert Lieven
nm0511950,Gunnar 'Knas' Lindkvist
nm0516215,Tony Lo Bianco
nm0517951,Luisa Loiano
nm10387851,Joel Agran
nm1182776,Bernard Werber
nm1197478,Elio Seraffini
nm1202379,Zhan Daniel
nm13612216,May Leitz
nm1371186,Mayumi Kurata
nm14783727,Julia Fiquet
nm14797883,Jessica Doucha
nm16728394,Jeanne Mvondo
nm1675910,Robin Rosenberg
nm1678066,Norman Foster
nm1932611,David Sondergard
nm1953498,Ahmad Razvi
nm1954047,Alain Derboy
nm2013193,Nina Lorenzo
nm3674206,Lola Blanc
nm3692344,Elisabeth Gessau
nm3706402,Emiko Iwasaki
nm3712747,Regis Lazard
nm4663718,Elena Lietti
nm4737348,Brandon Lamar
nm4740249,Diogo Pires Miranda
nm4752229,Thomas Schubert
nm7450855,Carlos Hercules
nm7461713,Shea Vaughan-Gabor
nm7554248,Aidan Fink
nm7564785,Michel Jeannès
nm7564789,Patricia Wang
nm8927476,Kunal B. Patel
nm8984345,Thomas Ducasse
nm8984347,Simone Thiébaut
nm0801567,Arthur Sinclair
nm0801852,Yiu-Sing Cheung
nm0802373,Santosh Singha
nm0804741,Jan Skotnicki
nm0806384,Steve Smagghe
nm0806819,Vladimír Smeral
nm0813589,Huda Sultan
nm0817630,Leslie Speights
nm0820105,Ronald Squire
nm0823085,Dimos Starenios
nm0823284,William Starks
nm0824496,Bob Steele
nm0827354,Jirina Stepnicková
nm0827647,Bill Stern
nm0829717,Paul Stewart
nm0830797,Emily Stocker
nm0833324,Erik Strandmark
nm0835730,Jeanne Stuart
nm0836226,Wolfgang Stumpf
nm0842944,Hans-Jürgen Syberberg
nm0843883,Erika Szegedi
nm0844435,László Szabó
nm0845867,Oleg Tabakov
nm0846451,Amid Taftazani
nm0847114,Etsushi Takahashi
nm0847447,Yoshio Takayama
nm0847628,Muga Takewaki
nm0848964,Akio Tanaka
nm0848984,Haruo Tanaka
nm0851309,Shin Tatsuoka
nm0852532,Janet Taylor
nm0852605,Jocelyn Taylor
nm0852785,Lisa Taylor
nm0853505,Valentina Tyo
nm0854808,Paul Temps
nm0854996,Birgit Tengroth
nm0855384,Michie Terada
nm0856500,Sylvie Testud
nm0856609,Roland Teubner
nm0857658,Ernest Thesiger
nm0860617,Ray Thompson
nm0862892,Patrick Tierney
nm0865761,Saburô Tokitô
nm0866701,Yuki Tominaga
nm0866851,Kathryn Tomlinson
nm0871209,Allan Trautman
nm0875426,Tomie Tsunoda
nm0877230,Veronica Turleigh
nm0879412,Georges Térof
nm0881545,Yôko Uraji
nm0881555,Vladimir Uralskiy
nm0881953,Robert Uricola
nm0884044,Vladimír Valenta
nm0884800,Nils-Aslak Valkeapää
nm0892956,Stephanie Venditto
nm0893770,Patrick Verde
nm0895875,Alexandra Vicencio
nm0897808,José Luis de Vilallonga
nm0901057,Rüdiger Vogler
nm0902823,Rosa von Praunheim
nm0907955,Larrington Walker
nm0908013,Martin Walker
nm0908925,Katherine Wallach
nm0910935,Jean Wang
nm0911093,Jimmy Wang Yu
nm0913843,Misako Watanabe
nm0917912,Tor Weijden
nm0921351,Dieter Wernecke
nm0922668,Carlie Westerman
nm0925289,Pamela White
nm0928795,Michael Shamus Wiles
nm0930539,Emlyn Williams
nm0930732,Harcourt Williams
nm11512845,Baisha Liu
nm1152508,Joseph Beuys
nm1271738,Sammie Fields
nm12719478,Park Yu-rim
nm1279852,Emanuel Jørgensen
nm1356385,Wilma Rudolph
nm13571781,Harry Babcock
nm15076424,Pape Jean Diop
nm15100667,Elaine Featherstone
nm15100670,Donna Michelson
nm2193120,Hannah Gross
nm3338354,Kate Lyn Sheil
nm4555837,Cara Chu
nm4574764,Mark Walton
nm4583383,Isabel Sandoval
nm4600309,Tenma Shibuya
nm4647957,Stacy Pennebaker
nm5870749,Annie St-Pierre
nm0537505,Djingarey Abdoulaye Maïga
nm0537873,Louis Maïss
nm0539562,Art Malik
nm0539965,Tania Mallet
nm0543790,Jayne Mansfield
nm0543909,Charles Manson
nm0545324,Nimmy March
nm0545352,Georges Marchal
nm0546516,Janie Marèse
nm0547409,Marilina Ross
nm0548266,Mary Ellen Mark
nm0551971,Beverley Martin
nm0555227,Mario Iván Martínez
nm0555718,Renaud Mary
nm0556188,Nello Mascia
nm0556319,Kyôsuke Machida
nm0557127,Varvara Massalitinova
nm0559169,Daniel Matmor
nm0559465,Kazuyo Matsui
nm0560602,Marinka Matuszewski
nm0562919,Tobar Mayo
nm0565503,James McCauley
nm0567710,Country Joe McDonald
nm0573790,Gus McNaughton
nm0576507,Ahmed Mehrez
nm0576655,Armin Meier
nm0576954,Golda Meir
