imdb_tconst,title,studio,release_date,status
tt0018578,Wings,Paramount Famous Lasky Corporation,1927-08-12,ok
tt0019729,The Broadway Melody,Metro-Goldwyn-Mayer,1929-02-08,ok
tt0020629,All Quiet on the Western Front,Universal Pictures,1930-04-29,ok
tt0021746,Cimarron,RKO Radio Pictures,1931-01-26,ok
tt0022958,Grand Hotel,Metro-Goldwyn-Mayer,1932-09-11,ok
tt0023876,Cavalcade,Fox Film Corporation,1933-02-08,ok
tt0025316,It Happened One Night,Columbia Pictures,1934-02-22,ok
tt0026752,Mutiny on the Bounty,Metro-Goldwyn-Mayer,1935-11-22,ok
tt0027698,The Great Ziegfeld,Metro-Goldwyn-Mayer,1936-04-08,ok
tt0029146,The Life of Emile Zola,Warner Bros. Pictures,1937-09-09,ok
tt0030993,You Can't Take It with You,Columbia Pictures,1938-09-01,ok
tt0031381,Gone with the Wind,Selznick International Pictures,1939-12-15,ok
tt0032976,Rebecca,Selznick International Pictures,1940-03-23,ok
tt0033729,How Green Was My Valley,20th Century Fox,1941-10-28,ok
tt0034583,Casablanca,Warner Bros. Pictures,1943-01-15,ok
tt0035093,Mrs. Miniver,Metro-Goldwyn-Mayer,1942-07-03,ok
tt0036868,The Best Years of Our Lives,Samuel Goldwyn Productions,1946-12-25,ok
tt0036872,Going My Way,Paramount Pictures,1944-01-01,ok
tt0037884,The Lost Weekend,Paramount Pictures,1945-11-29,ok
tt0039416,Gentleman's Agreement,20th Century Fox,1947-11-11,ok
tt0040416,Hamlet,Two Cities Films,1948-12-10,ok
tt0041113,All the King's Men,Columbia Pictures,1949-11-16,ok
tt0042192,All About Eve,20th Century Fox,1950-11-09,ok
tt0043278,An American in Paris,Metro-Goldwyn-Mayer,1951-09-26,ok
tt0044672,The Greatest Show on Earth,Paramount Pictures,1952-02-16,ok
tt0045793,From Here to Eternity,Columbia Pictures,1953-08-28,ok
tt0047296,On the Waterfront,Columbia Pictures,1954-06-22,ok
tt0048356,Marty,Hecht-Lancaster Productions,1955-04-11,ok
tt0048960,Around the World in 80 Days,Michael Todd Company,1956-10-17,ok
tt0050212,The Bridge on the River Kwai,Horizon Pictures,1957-10-11,ok
tt0051658,Gigi,Arthur Freed Production,1958-05-15,ok
tt0052618,Ben-Hur,Metro-Goldwyn-Mayer,1959-11-18,ok
tt0053604,The Apartment,The Mirisch Company,1960-06-21,ok
tt0055614,West Side Story,Seven Arts Productions,1961-12-13,ok
tt0056172,Lawrence of Arabia,Horizon Pictures,1962-12-11,ok
tt0057590,Tom Jones,Woodfall Film Productions,1963-08-24,ok
tt0058385,My Fair Lady,Warner Bros. Pictures,1964-12-01,ok
tt0059742,The Sound of Music,Robert Wise Productions,1965-03-29,ok
tt0060665,A Man for All Seasons,Highland Films,1966-12-13,ok
tt0061811,In the Heat of the Night,United Artists,1967-08-02,ok
tt0063385,Oliver!,Warwick Film Productions,1968-09-26,ok
tt0064665,Midnight Cowboy,Florin Productions,1969-05-25,ok
tt0066206,Patton,20th Century Fox,1970-01-25,ok
tt0067116,The French Connection,D'Antoni Productions,1971-10-09,ok
tt0068646,The Godfather,Paramount Pictures,1972-03-14,ok
tt0070735,The Sting,Universal Pictures,1973-12-25,ok
tt0071562,The Godfather Part II,Paramount Pictures,1974-12-20,ok
tt0073486,One Flew Over the Cuckoo's Nest,Fantasy Films,1975-11-19,ok
