imdb_tconst,title,oscar_year
tt0018578,Wings,1929
tt0019729,The Broadway Melody,1930
tt0020629,All Quiet on the Western Front,1930
tt0021746,Cimarron,1931
tt0022958,Grand Hotel,1932
tt0023876,Cavalcade,1934
tt0025316,It Happened One Night,1935
tt0026752,Mutiny on the Bounty,1936
tt0027698,The Great Ziegfeld,1937
tt0029146,The Life of Emile Zola,1938
tt0030993,You Can't Take It with You,1939
tt0031381,Gone with the Wind,1940
tt0032976,Rebecca,1941
tt0033729,How Green Was My Valley,1942
tt0035093,Mrs. Miniver,1943
tt0034583,Casablanca,1944
tt0036872,Going My Way,1945
tt0037884,The Lost Weekend,1946
tt0036868,The Best Years of Our Lives,1947
tt0039416,Gentleman's Agreement,1948
tt0040416,Hamlet,1949
tt0041113,All the King's Men,1950
tt0042192,All About Eve,1951
tt0043278,An American in Paris,1952
tt0044672,The Greatest Show on Earth,1953
tt0045793,From Here to Eternity,1954
tt0047296,On the Waterfront,1955
tt0048356,Marty,1956
tt0048960,Around the World in 80 Days,1957
tt0050212,The Bridge on the River Kwai,1958
tt0051658,Gigi,1959
tt0052618,Ben-Hur,1960
tt0053604,The Apartment,1961
tt0055614,West Side Story,1962
tt0056172,Lawrence of Arabia,1963
tt0057590,Tom Jones,1964
tt0058385,My Fair Lady,1965
tt0059742,The Sound of Music,1966
tt0060665,A Man for All Seasons,1967
tt0061811,In the Heat of the Night,1968
tt0063385,Oliver!,1969
tt0064665,Midnight Cowboy,1970
tt0066206,Patton,1971
tt0067116,The French Connection,1972
tt0068646,The Godfather,1973
tt0070735,The Sting,1974
tt0071562,The Godfather Part II,1975
tt0073486,One Flew Over the Cuckoo's Nest,1976
tt0075148,Rocky,1977
tt0075686,Annie Hall,1978
tt0077416,The Deer Hunter,1979
tt0079417,Kramer vs. Kramer,1980
tt0081283,Ordinary People,1981
tt0082158,Chariots of Fire,1982
tt0083987,Gandhi,1983
tt0086425,Terms of Endearment,1984
tt0086879,Amadeus,1985
tt0089755,Out of Africa,1986
tt0091763,Platoon,1987
tt0093389,The Last Emperor,1988
tt0095953,Rain Man,1989
tt0097239,Driving Miss Daisy,1990
tt0099348,Dances with Wolves,1991
tt0102926,The Silence of the Lambs,1992
tt0105695,Unforgiven,1993
tt0108052,Schindler's List,1994
tt0109830,Forrest Gump,1995
tt0112573,Braveheart,1996
tt0116209,The English Patient,1997
tt0120338,Titanic,1998
tt0138097,Shakespeare in Love,1999
tt0169547,American Beauty,2000
tt0172495,Gladiator,2001
tt0268978,A Beautiful Mind,2002
tt0299658,Chicago,2003
tt0167260,The Lord of the Rings: The Return of the King,2004
tt0405159,Million Dollar Baby,2005
tt0375679,Crash,2006
tt0407887,The Departed,2007
tt0477348,No Country for Old Men,2008
tt1010048,Slumdog Millionaire,2009
tt0887912,The Hurt Locker,2010
tt1504320,The King's Speech,2011
tt1655442,The Artist,2012
tt1024648,Argo,2013
tt2024544,12 Years a Slave,2014
tt2562232,Birdman or (The Unexpected Virtue of Ignorance),2015
tt1895587,Spotlight,2016
tt4975722,Moonlight,2017
tt5580390,The Shape of Water,2018
tt6966692,Green Book,2019
tt6751668,Parasite,2020
tt9770150,Nomadland,2021
tt10366460,CODA,2022
tt6710474,Everything Everywhere All at Once,2023
tt15398776,Oppenheimer,2024
tt28607951,Anora,2025
tt30144839,One Battle After Another,2026
