title,criterion_director,criterion_country,criterion_year,imdb_tconst,imdb_title_type,imdb_year,imdb_runtime_minutes,imdb_director_nconst,imdb_writer_nconst,match_method,confidence_score,title_similarity,director_similarity,year_similarity
11’09”01—September 11,Mira Nair,United States,2002,tt0328802,movie,2002,134,"nm0327944,nm0149631,nm0321159,nm0408076,nm0500988,nm0516360,nm0538533,nm0619762,nm0653458,nm0000576,nm0849786","nm1240977,nm0149631,nm0223526,nm0321159,nm0327944,nm0491956,nm0500988,nm0516360,nm0538533,nm0653458,nm0000576,nm0763035,nm0849786,nm0854976,nm0882683,nm0891927",fuzzy_canonical,100.0,1.0,1.0,1.0
12:08 East of Bucharest,Corneliu Porumboiu,,2006,tt0809407,movie,2006,89,nm1717949,nm1717949,fuzzy_canonical,100.0,1.0,1.0,1.0
2 or 3 Things I Know About Her,Jean-Luc Godard,France,1967,tt0060304,movie,1967,87,nm0000419,"nm0898479,nm0000419",fuzzy_canonical,100.0,1.0,1.0,1.0
200 Cigarettes,Risa Bramon Garcia,United States,1999,tt0137338,movie,1999,101,nm0305405,nm0488899,fuzzy_canonical,100.0,1.0,1.0,1.0
21 Days,Basil Dean,United Kingdom,1940,tt0032179,movie,1940,72,nm0212704,"nm0303335,nm0212704,nm0001294",fuzzy_canonical,100.0,1.0,1.0,1.0
24 Frames,Abbas Kiarostami,Iran,2017,tt6777170,movie,2017,114,nm0452102,,fuzzy_canonical,100.0,1.0,1.0,1.0
36 fillette,Catherine Breillat and Catherine Breillat,France,1988,tt0094596,movie,1988,88,nm0106924,"nm0106924,nm0758617",fuzzy_canonical,96.1,1.0,0.8878,1.0
"4 Months, 3 Weeks and 2 Days",Cristian Mungiu,Romania,2007,tt1032846,movie,2007,113,nm0612816,nm0612816,fuzzy_canonical,100.0,1.0,1.0,1.0
45 Years,Andrew Haigh,United Kingdom,2015,tt3544082,movie,2015,95,nm0354091,"nm0354091,nm3807555",fuzzy_canonical,100.0,1.0,1.0,1.0
49th Parallel,Michael Powell,United Kingdom,1941,tt0033627,movie,1941,123,nm0003836,"nm0696247,nm0010063",fuzzy_canonical,100.0,1.0,1.0,1.0
71 Fragments of a Chronology of Chance,Michael Haneke,Germany,1994,tt0109020,movie,1994,100,nm0359734,nm0359734,fuzzy_canonical,100.0,1.0,1.0,1.0
8½,Federico Fellini,Italy,1963,tt0056801,movie,1963,138,nm0000019,"nm0000019,nm0280919,nm0684083,nm0740021",fuzzy_canonical,100.0,1.0,1.0,1.0
A Better Tomorrow,John Woo,Hong Kong,1986,tt0092263,movie,1986,95,nm0000247,"nm0150916,nm0505000,nm0000247",fuzzy_canonical,100.0,1.0,1.0,1.0
A Better Tomorrow II,John Woo,Hong Kong,1987,tt0094357,movie,1987,105,nm0000247,"nm0150916,nm0505000,nm0007139,nm0000247",fuzzy_canonical,100.0,1.0,1.0,1.0
A Brighter Summer Day,Edward Yang,Taiwan,1991,tt0101985,movie,1991,237,nm0945981,"nm0945981,nm0795908,nm0591312,nm0393297",fuzzy_canonical,100.0,1.0,1.0,1.0
A Canterbury Tale,Michael Powell and Emeric Pressburger,United Kingdom,1944,tt0036695,movie,1944,124,"nm0003836,nm0696247","nm0003836,nm0696247",fuzzy_canonical,95.6,1.0,0.8757,1.0
A Chinese Ghost Story,Tony Ching Siu-Tung,Hong Kong,1987,tt0093978,movie,1987,98,nm0155642,"nm0699700,nm0950699",fuzzy_canonical,89.2,1.0,0.6907,1.0
A Chinese Ghost Story II,Tony Ching Siu-Tung,Hong Kong,1990,tt0100625,movie,1990,104,nm0155642,"nm2028479,nm0442983,nm0490622",fuzzy_canonical,89.2,1.0,0.6907,1.0
A Chinese Ghost Story III,Tony Ching Siu-Tung,Hong Kong,1991,tt0102932,movie,1991,104,"nm0155642,nm0007139","nm0007139,nm0844036",fuzzy_canonical,89.2,1.0,0.6907,1.0
A Christmas Tale,Arnaud Desplechin,France,2008,tt0993789,movie,2008,150,nm0221611,"nm0221611,nm0099802,nm5429021,nm3493561",fuzzy_canonical,100.0,1.0,1.0,1.0
A Colt Is My Passport,Takashi Nomura,Japan,1967,tt0330536,movie,1967,84,nm0634601,"nm1024346,nm0619069,nm0945257",fuzzy_canonical,100.0,1.0,1.0,1.0
A Confucian Confusion,Edward Yang,Taiwan,1994,tt0109685,movie,1994,125,nm0945981,nm0945981,fuzzy_canonical,100.0,1.0,1.0,1.0
A Fish in the Bathtub,Joan Micklin Silver,United States,1999,tt0126908,movie,1998,96,nm0798717,"nm0799043,nm0160986,nm0798776",fuzzy_canonical,92.5,1.0,1.0,0.5
A Flame at the Pier,Masahiro Shinoda,Japan,1962,tt0056562,movie,1962,92,nm0793983,"nm5964089,nm0793983,nm0855446",fuzzy_canonical,100.0,1.0,1.0,1.0
A Generation,Andrzej Wajda,Poland,1955,tt0048500,movie,1955,87,nm0906667,nm0194472,fuzzy_canonical,100.0,1.0,1.0,1.0
A Good Marriage,Eric Rohmer,France,1982,tt0082053,movie,1982,97,nm0006445,nm0006445,fuzzy_canonical,100.0,1.0,1.0,1.0
A Hard Day’s Night,Richard Lester,United Kingdom,1964,tt0058182,movie,1964,87,nm0504513,nm0654079,fuzzy_canonical,100.0,1.0,1.0,1.0
A Hen in the Wind,Yasujiro Ozu,Japan,1948,tt0040505,movie,1948,84,nm0654868,"nm0654868,nm0756861",fuzzy_canonical,100.0,1.0,1.0,1.0
A Japanese Tragedy,Keisuke Kinoshita,Japan,1953,tt0046127,movie,1953,116,nm0455839,nm0455839,fuzzy_canonical,100.0,1.0,1.0,1.0
A Kid for Two Farthings,Carol Reed,United Kingdom,1955,tt0048250,movie,1955,91,nm0715346,nm0542554,fuzzy_canonical,100.0,1.0,1.0,1.0
A King in New York,Charles Chaplin,United Kingdom,1957,tt0050598,movie,1957,105,nm0000122,nm0000122,fuzzy_canonical,100.0,1.0,1.0,1.0
A Legend or Was It?,Keisuke Kinoshita,Japan,1963,tt0057494,movie,1963,83,nm0455839,nm0455839,fuzzy_canonical,100.0,1.0,1.0,1.0
A Lesson in Love,Ingmar Bergman,Sweden,1954,tt0047167,movie,1954,96,nm0000005,nm0000005,fuzzy_canonical,100.0,1.0,1.0,1.0
A Man Escaped,Robert Bresson,France,1956,tt0049902,movie,1956,101,nm0000975,"nm0222519,nm0000975",fuzzy_canonical,100.0,1.0,1.0,1.0
A Man There Was,Victor Sjöström,Sweden,1917,tt0008663,movie,1917,65,nm0803705,"nm0406585,nm0596410,nm0803705",fuzzy_canonical,100.0,1.0,1.0,1.0
A Master Builder,Jonathan Demme,United States,2014,tt2276069,movie,2013,130,nm0001129,"nm0406585,nm0001728",fuzzy_canonical,92.5,1.0,1.0,0.5
A Monkey in Winter,Henri Verneuil,France,1962,tt0056636,movie,1962,105,nm0894577,"nm0089073,nm0102030,nm0002192,nm0894577",fuzzy_canonical,100.0,1.0,1.0,1.0
A Mother Should Be Loved,Yasujiro Ozu,Japan,1934,tt0025214,movie,1934,93,nm0654868,"nm0633792,nm0407456,nm0033163,nm0654868",fuzzy_canonical,100.0,1.0,1.0,1.0
A Night to Remember,Roy Ward Baker,United Kingdom,1958,tt0051994,movie,1958,123,nm0001928,"nm0520520,nm0001907",fuzzy_canonical,100.0,1.0,1.0,1.0
A Private Function,Malcolm Mowbray,United Kingdom,1984,tt0089838,movie,1984,92,nm0610261,"nm0003141,nm0610261",fuzzy_canonical,100.0,1.0,1.0,1.0
A Quiet Life,Juzo Itami,Japan,1995,tt0131013,movie,1995,121,nm0411631,"nm0411631,nm0644192",fuzzy_canonical,100.0,1.0,1.0,1.0
A Real Young Girl,Catherine Breillat,France,1976,tt0135024,movie,1976,89,nm0106924,nm0106924,fuzzy_canonical,100.0,1.0,1.0,1.0
A Report on the Party and Guests,Jan Němec,Czechoslovakia,1966,tt0063371,movie,1966,71,nm0625866,"nm0472695,nm0625866",fuzzy_canonical,100.0,1.0,1.0,1.0
A River Called Titas,Ritwik Ghatak,Bangladesh,1973,tt0070809,movie,1973,159,nm0315547,"nm0122175,nm0315547",fuzzy_canonical,100.0,1.0,1.0,1.0
A Room with a View,James Ivory,United Kingdom,1986,tt0091867,movie,1985,117,nm0412465,"nm0286950,nm0695609",fuzzy_canonical,92.5,1.0,1.0,0.5
A Ship to India,Ingmar Bergman,Sweden,1947,tt0039834,movie,1947,98,nm0000005,"nm0000005,nm0845496",fuzzy_canonical,100.0,1.0,1.0,1.0
A Short Film About Killing,Krzysztof Kieślowski,Poland,1988,tt0095468,movie,1988,84,nm0001425,"nm0682830,nm0001425",fuzzy_canonical,100.0,1.0,1.0,1.0
A Short Film About Love,Krzysztof Kieślowski,Poland,1988,tt0095467,movie,1988,87,nm0001425,"nm0001425,nm0682830",fuzzy_canonical,100.0,1.0,1.0,1.0
A Slightly Pregnant Man,Jacques Demy,France,1973,tt0070960,movie,1973,92,nm0218840,nm0218840,fuzzy_canonical,100.0,1.0,1.0,1.0
A Special Day,Ettore Scola,Italy,1977,tt0076085,movie,1977,103,nm0778633,"nm0531431,nm0778633,nm0182454",fuzzy_canonical,100.0,1.0,1.0,1.0
A Story from Chikamatsu,Kenji Mizoguchi,Japan,1954,tt0046851,movie,1954,102,nm0003226,"nm13302333,nm0157399,nm0442736,nm0406808",fuzzy_canonical,100.0,1.0,1.0,1.0
A Story of Floating Weeds,Yasujiro Ozu,Japan,1934,tt0025929,movie,1934,86,nm0654868,"nm0407456,nm0654868",fuzzy_canonical,100.0,1.0,1.0,1.0
A Sunday in the Country,Bertrand Tavernier,France,1984,tt0088318,movie,1984,90,nm0851724,"nm0098204,nm0851724,nm0851725",fuzzy_canonical,100.0,1.0,1.0,1.0
A Tale of Springtime,Eric Rohmer,France,1990,tt0097106,movie,1990,108,nm0006445,nm0006445,fuzzy_canonical,100.0,1.0,1.0,1.0
A Tale of Winter,Eric Rohmer,France,1992,tt0104008,movie,1992,114,nm0006445,nm0006445,fuzzy_canonical,100.0,1.0,1.0,1.0
A Taste of Honey,Tony Richardson,United Kingdom,1961,tt0055506,movie,1961,101,nm0724798,"nm0216340,nm0724798",fuzzy_canonical,100.0,1.0,1.0,1.0
A Taxing Woman,Juzo Itami,Japan,1987,tt0093502,movie,1987,127,nm0411631,nm0411631,fuzzy_canonical,100.0,1.0,1.0,1.0
A Taxing Woman's Return,Juzo Itami,Japan,1988,tt0095597,movie,1988,127,nm0411631,nm0411631,fuzzy_canonical,100.0,1.0,1.0,1.0
A Touch of Zen,King Hu,Taiwan,1971,tt0064451,movie,1971,200,nm0002254,"nm0699700,nm0002254",fuzzy_canonical,100.0,1.0,1.0,1.0
A Wedding,Robert Altman,United States,1978,tt0078481,movie,1978,125,nm0000265,"nm0175912,nm0720334,nm0629454,nm0000265",fuzzy_canonical,100.0,1.0,1.0,1.0
A Week’s Vacation,Bertrand Tavernier,France,1980,tt0081686,movie,1980,102,nm0851724,"nm0851724,nm0851725,nm0360579",fuzzy_canonical,100.0,1.0,1.0,1.0
A Woman Is a Woman,Jean-Luc Godard,France,1961,tt0055572,movie,1961,84,nm0000419,"nm0167346,nm0000419",fuzzy_canonical,100.0,1.0,1.0,1.0
A Woman Under the Influence,John Cassavetes,United States,1974,tt0072417,movie,1974,155,nm0001023,nm0001023,fuzzy_canonical,100.0,1.0,1.0,1.0
A Woman of Paris,Charles Chaplin,United States,1923,tt0014624,movie,1923,82,nm0000122,nm0000122,fuzzy_canonical,100.0,1.0,1.0,1.0
A Woman’s Face,Gustaf Molander,Sweden,1938,tt0030337,movie,1938,100,nm0596410,"nm0188544,nm0828436,nm0074863,nm0697511",fuzzy_canonical,100.0,1.0,1.0,1.0
About Dry Grasses,Nuri Bilge Ceylan,Turkey,2023,tt13231544,movie,2023,197,nm0149196,"nm9831079,nm0946324,nm0149196",fuzzy_canonical,100.0,1.0,1.0,1.0
Accattone,Pier Paolo Pasolini,Italy,1961,tt0054599,movie,1961,117,nm0001596,"nm0001596,nm0162952",fuzzy_canonical,100.0,1.0,1.0,1.0
Adelheid,František Vláčil,Czechoslovakia,1970,tt0122371,movie,1969,99,nm0900712,"nm0478005,nm0900712",fuzzy_canonical,92.5,1.0,1.0,0.5
Adieu Bonaparte,Youssef Chahine,Egypt,1985,tt0088383,movie,1985,115,nm0149631,"nm0149631,nm0621915",fuzzy_canonical,100.0,1.0,1.0,1.0
Adieu Philippine,Jacques Rozier and Jacques Rozier,France,1962,tt0143088,movie,1962,106,nm0747613,"nm0641056,nm0747613",fuzzy_canonical,96.0,1.0,0.8848,1.0
Adoption,Márta Mészáros,Hungary,1975,tt0073948,movie,1975,89,nm0617767,"nm0617767,nm0379795,nm0344662",fuzzy_canonical,100.0,1.0,1.0,1.0
Adventures of Zatoichi,Kimiyoshi Yasuda,Japan,1964,tt0164984,movie,1964,86,nm0946638,"nm0038305,nm0793753",fuzzy_canonical,100.0,1.0,1.0,1.0
Adventures of a Dentist,Elem Klimov,Soviet Union,1965,tt0155028,movie,1965,82,nm0459552,nm0901668,fuzzy_canonical,100.0,1.0,1.0,1.0
Afire,Christian Petzold,Germany,2023,tt26440619,movie,2023,102,nm0678857,nm0678857,fuzzy_canonical,100.0,1.0,1.0,1.0
After Hours,Martin Scorsese,United States,1985,tt0088680,movie,1985,97,nm0000217,nm0591387,fuzzy_canonical,100.0,1.0,1.0,1.0
After Life,Hirokazu Kore-eda,Japan,1998,tt0165078,movie,1998,119,nm0466153,nm0466153,fuzzy_canonical,99.6,1.0,0.9882,1.0
After the Curfew,Usmar Ismail,Indonesia,1954,tt0045997,movie,1954,101,nm0411344,nm0762760,fuzzy_canonical,100.0,1.0,1.0,1.0
Against All Odds,Taylor Hackford,United States,1984,tt0086859,movie,1984,121,nm0000431,"nm0400591,nm0537784",fuzzy_canonical,100.0,1.0,1.0,1.0
