title,channel_slug,channel_url
"A Turning Point",a-turning-point,https://www.criterionchannel.com/a-turning-point
"Among Grey Stones",among-grey-stones,https://www.criterionchannel.com/among-grey-stones
". . . But Film Is My Mistress",but-film-is-my-mistress,https://www.criterionchannel.com/but-film-is-my-mistress
"Adventures of a Dentist",adventures-of-a-dentist,https://www.criterionchannel.com/adventures-of-a-dentist
"A Wedding",a-wedding,https://www.criterionchannel.com/a-wedding
"Adieu Philippine",adieu-philippine,https://www.criterionchannel.com/adieu-philippine
"An Egyptian Story",an-egyptian-story,https://www.criterionchannel.com/an-egyptian-story
"Atragon",atragon,https://www.criterionchannel.com/atragon
"Captain Conan",captain-conan,https://www.criterionchannel.com/captain-conan
"Dark Waters",dark-waters,https://www.criterionchannel.com/dark-waters
"Charlie Is My Darling",charlie-is-my-darling,https://www.criterionchannel.com/charlie-is-my-darling
"Death Shadows",death-shadows,https://www.criterionchannel.com/death-shadows
"Didn’t Do It for Love",didn-t-do-it-for-love,https://www.criterionchannel.com/didn-t-do-it-for-love
"Dirty Gertie from Harlem U.S.A.",dirty-gertie-from-harlem-u-s-a,https://www.criterionchannel.com/dirty-gertie-from-harlem-u-s-a
"Foolish Heart",foolish-heart,https://www.criterionchannel.com/foolish-heart
"Golden Balls",golden-balls,https://www.criterionchannel.com/golden-balls
"Gone in 60 Seconds",gone-in-60-seconds,https://www.criterionchannel.com/gone-in-60-seconds
"Grass: A Nation’s Battle for Life",grass-a-nation-s-battle-for-life,https://www.criterionchannel.com/grass-a-nation-s-battle-for-life
"I Was a Teenage Zombie",i-was-a-teenage-zombie,https://www.criterionchannel.com/i-was-a-teenage-zombie
"Hell Drivers",hell-drivers,https://www.criterionchannel.com/hell-drivers
"Killers on Parade",killers-on-parade,https://www.criterionchannel.com/killers-on-parade
"King of the Night",king-of-the-night,https://www.criterionchannel.com/king-of-the-night
"It All Starts Today",it-all-starts-today,https://www.criterionchannel.com/it-all-starts-today
"La Balance",la-balance,https://www.criterionchannel.com/la-balance
"Le Pont du Nord",le-pont-du-nord,https://www.criterionchannel.com/le-pont-du-nord
"Let Joy Reign Supreme",let-joy-reign-supreme,https://www.criterionchannel.com/let-joy-reign-supreme
"Lightning Over Water",lightning-over-water,https://www.criterionchannel.com/lightning-over-water
"Magnet of Doom",magnet-of-doom,https://www.criterionchannel.com/magnet-of-doom
"Maniac Cop",maniac-cop,https://www.criterionchannel.com/maniac-cop
"Meeting with Pol Pot",meeting-with-pol-pot,https://www.criterionchannel.com/meeting-with-pol-pot
"Museum Hours",museum-hours,https://www.criterionchannel.com/museum-hours
"My Sex Life . . . or How I Got into an Argument",my-sex-life-or-how-i-got-into-an-argument,https://www.criterionchannel.com/my-sex-life-or-how-i-got-into-an-argument
"Nomad",nomad,https://www.criterionchannel.com/nomad
"Ornette: Made in America",ornette-made-in-america,https://www.criterionchannel.com/ornette-made-in-america
"Princess from the Moon",princess-from-the-moon,https://www.criterionchannel.com/princess-from-the-moon
"Plácido",placido,https://www.criterionchannel.com/placido
"Point of Order!",point-of-order,https://www.criterionchannel.com/point-of-order
"Out of the Blue",out-of-the-blue,https://www.criterionchannel.com/out-of-the-blue
"Profound Desire of the Gods",profound-desire-of-the-gods,https://www.criterionchannel.com/profound-desire-of-the-gods
"Swordsman II",swordsman-ii,https://www.criterionchannel.com/swordsman-ii
"Sleepwalk",sleepwalk,https://www.criterionchannel.com/sleepwalk
"Resynator",resynator,https://www.criterionchannel.com/resynator
"Ten Nights in a Bar Room",ten-nights-in-a-bar-room,https://www.criterionchannel.com/ten-nights-in-a-bar-room
"The Apartment",the-apartment,https://www.criterionchannel.com/the-apartment
"The Aggressives",the-aggressives,https://www.criterionchannel.com/the-aggressives
"The Castle of Sand",the-castle-of-sand,https://www.criterionchannel.com/the-castle-of-sand
"The Devil of the Desert",the-devil-of-the-desert,https://www.criterionchannel.com/the-devil-of-the-desert
"The East Is Red",the-east-is-red,https://www.criterionchannel.com/the-east-is-red
"The Long Voyage Home",the-long-voyage-home,https://www.criterionchannel.com/the-long-voyage-home
"The Games of the V Olympiad Stockholm, 1912",the-games-of-the-v-olympiad-stockholm-1912,https://www.criterionchannel.com/the-games-of-the-v-olympiad-stockholm-1912
"The Olympic Games in Paris 1924",the-olympic-games-in-paris-1924,https://www.criterionchannel.com/the-olympic-games-in-paris-1924
"The Old and the New",the-old-and-the-new,https://www.criterionchannel.com/the-old-and-the-new
"The Rocking Horse Winner",the-rocking-horse-winner,https://www.criterionchannel.com/the-rocking-horse-winner
"The Young Rebels",the-young-rebels,https://www.criterionchannel.com/the-young-rebels
"They Call Me Bruce",they-call-me-bruce,https://www.criterionchannel.com/they-call-me-bruce
"Toute une nuit",toute-une-nuit,https://www.criterionchannel.com/toute-une-nuit
"Unknown Pleasures",unknown-pleasures,https://www.criterionchannel.com/unknown-pleasures
"Underground",underground,https://www.criterionchannel.com/underground
"We’re All Going to the World’s Fair",we-re-all-going-to-the-world-s-fair,https://www.criterionchannel.com/we-re-all-going-to-the-world-s-fair
"Variety",variety,https://www.criterionchannel.com/variety
"12:08 East of Bucharest",12-08-east-of-bucharest,https://www.criterionchannel.com/12-08-east-of-bucharest
"Within Our Gates",within-our-gates,https://www.criterionchannel.com/within-our-gates
"21 Days",21-days,https://www.criterionchannel.com/21-days
"American Dharma",american-dharma,https://www.criterionchannel.com/american-dharma
"Ballad of a Workman",ballad-of-a-workman,https://www.criterionchannel.com/ballad-of-a-workman
"Bad Press",bad-press,https://www.criterionchannel.com/bad-press
"Being Two Isn’t Easy",being-two-isn-t-easy,https://www.criterionchannel.com/being-two-isn-t-easy
"Common Threads: Stories from the Quilt",common-threads-stories-from-the-quilt,https://www.criterionchannel.com/common-threads-stories-from-the-quilt
"Bloody Nose, Empty Pockets",bloody-nose-empty-pockets,https://www.criterionchannel.com/bloody-nose-empty-pockets
"Eijanaika",eijanaika,https://www.criterionchannel.com/eijanaika
"Fassbinder’s Women",fassbinder-s-women,https://www.criterionchannel.com/fassbinder-s-women
"Daughters of the Dust",daughters-of-the-dust,https://www.criterionchannel.com/daughters-of-the-dust
"Daughter’s Daughter",daughter-s-daughter,https://www.criterionchannel.com/daughter-s-daughter
"Fruit of Paradise",fruit-of-paradise,https://www.criterionchannel.com/fruit-of-paradise
"Frankenstein vs. Baragon",frankenstein-vs-baragon,https://www.criterionchannel.com/frankenstein-vs-baragon
"Gendernauts: A Journey Through Shifting Identities",gendernauts-a-journey-through-shifting-identities,https://www.criterionchannel.com/gendernauts-a-journey-through-shifting-identities
"Gold and Glory",gold-and-glory,https://www.criterionchannel.com/gold-and-glory
"July Rhapsody",july-rhapsody,https://www.criterionchannel.com/july-rhapsody
"Kiru",kiru,https://www.criterionchannel.com/kiru
"Le garçu",le-garcu,https://www.criterionchannel.com/le-garcu
"Look Back in Anger",look-back-in-anger,https://www.criterionchannel.com/look-back-in-anger
"Love New and Old",love-new-and-old,https://www.criterionchannel.com/love-new-and-old
"Mississippi Blues",mississippi-blues,https://www.criterionchannel.com/mississippi-blues
"Never Fear",never-fear,https://www.criterionchannel.com/never-fear
"Moonlight Serenade",moonlight-serenade,https://www.criterionchannel.com/moonlight-serenade
"Paragraph 175",paragraph-175,https://www.criterionchannel.com/paragraph-175
"Sabotage",sabotage,https://www.criterionchannel.com/sabotage
"Saturday Night and Sunday Morning",saturday-night-and-sunday-morning,https://www.criterionchannel.com/saturday-night-and-sunday-morning
"Preparations to Be Together for an Unknown Period of Time",preparations-to-be-together-for-an-unknown-period-of-time,https://www.criterionchannel.com/preparations-to-be-together-for-an-unknown-period-of-time
"Regeneration",regeneration,https://www.criterionchannel.com/regeneration
"Queen Bee",queen-bee,https://www.criterionchannel.com/queen-bee
"Rodan",rodan,https://www.criterionchannel.com/rodan
"Sweet Hours",sweet-hours,https://www.criterionchannel.com/sweet-hours
"So Long at the Fair",so-long-at-the-fair,https://www.criterionchannel.com/so-long-at-the-fair
"The Clay Bird",the-clay-bird,https://www.criterionchannel.com/the-clay-bird
"The First of the Few",the-first-of-the-few,https://www.criterionchannel.com/the-first-of-the-few
"The Flying Ace",the-flying-ace,https://www.criterionchannel.com/the-flying-ace
"The Sealed Soil",the-sealed-soil,https://www.criterionchannel.com/the-sealed-soil
"The Rolling Stones Rock and Roll Circus",the-rolling-stones-rock-and-roll-circus,https://www.criterionchannel.com/the-rolling-stones-rock-and-roll-circus
"Three Stories",three-stories,https://www.criterionchannel.com/three-stories
"Torna!",torna,https://www.criterionchannel.com/torna
"Two Timid Souls",two-timid-souls,https://www.criterionchannel.com/two-timid-souls
"Yesterday, Today, and Tomorrow",yesterday-today-and-tomorrow,https://www.criterionchannel.com/yesterday-today-and-tomorrow
"A Private Function",a-private-function,https://www.criterionchannel.com/a-private-function
"We All Loved Each Other So Much",we-all-loved-each-other-so-much,https://www.criterionchannel.com/we-all-loved-each-other-so-much
"Welcome Mr. Marshall!",welcome-mr-marshall,https://www.criterionchannel.com/welcome-mr-marshall
"A Taxing Woman's Return",a-taxing-woman-s-return,https://www.criterionchannel.com/a-taxing-woman-s-return
"When Pigs Fly",when-pigs-fly,https://www.criterionchannel.com/when-pigs-fly
"Adelheid",adelheid,https://www.criterionchannel.com/adelheid
"Wild Geese",wild-geese,https://www.criterionchannel.com/wild-geese
"Black Peter",black-peter,https://www.criterionchannel.com/black-peter
"Career Girls",career-girls,https://www.criterionchannel.com/career-girls
