title,criterion_id,criterion_slug,criterion_url
"A Poem Is a Naked Person",28755,a-poem-is-a-naked-person,https://www.criterion.com/films/28755-a-poem-is-a-naked-person
"A Report on the Party and Guests",27877,a-report-on-the-party-and-guests,https://www.criterion.com/films/27877-a-report-on-the-party-and-guests
"A Ship to India",29512,a-ship-to-india,https://www.criterion.com/films/29512-a-ship-to-india
"A Tale of Winter",29649,a-tale-of-winter,https://www.criterion.com/films/29649-a-tale-of-winter
"Alexander Nevsky",341,alexander-nevsky,https://www.criterion.com/films/341-alexander-nevsky
"All Monsters Attack",29343,all-monsters-attack,https://www.criterion.com/films/29343-all-monsters-attack
"Bicycle Thieves",210,bicycle-thieves,https://www.criterion.com/films/210-bicycle-thieves
"Born in Flames",30707,born-in-flames,https://www.criterion.com/films/30707-born-in-flames
"Brief Encounters",33328,brief-encounters,https://www.criterion.com/films/33328-brief-encounters
"Buena Vista Social Club",28792,buena-vista-social-club,https://www.criterion.com/films/28792-buena-vista-social-club
"Burden of Dreams",546,burden-of-dreams,https://www.criterion.com/films/546-burden-of-dreams
"Cairo Station",32722,cairo-station,https://www.criterion.com/films/32722-cairo-station
"Caught by the Tides",34797,caught-by-the-tides,https://www.criterion.com/films/34797-caught-by-the-tides
"Chains",27621,chains,https://www.criterion.com/films/27621-chains
"Chop Shop",30288,chop-shop,https://www.criterion.com/films/30288-chop-shop
"Downpour",28601,downpour,https://www.criterion.com/films/28601-downpour
"Eastern Condors",30736,eastern-condors,https://www.criterion.com/films/30736-eastern-condors
"Fanny",28858,fanny,https://www.criterion.com/films/28858-fanny
"First Graders",29517,first-graders,https://www.criterion.com/films/29517-first-graders
"Ghidorah, the Three-Headed Monster",29340,ghidorah-the-three-headed-monster,https://www.criterion.com/films/29340-ghidorah-the-three-headed-monster
"Girlfight",33189,girlfight,https://www.criterion.com/films/33189-girlfight
"Half a Loaf of Kung Fu",29549,half-a-loaf-of-kung-fu,https://www.criterion.com/films/29549-half-a-loaf-of-kung-fu
"Homework",29518,homework,https://www.criterion.com/films/29518-homework
"I Will Buy You",28007,i-will-buy-you,https://www.criterion.com/films/28007-i-will-buy-you
"Il bidone",28631,il-bidone,https://www.criterion.com/films/28631-il-bidone
"Il sorpasso",28429,il-sorpasso,https://www.criterion.com/films/28429-il-sorpasso
"Innocence Unprotected",1073,innocence-unprotected,https://www.criterion.com/films/1073-innocence-unprotected
"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",302,jeanne-dielman-23-quai-du-commerce-1080-bruxelles,https://www.criterion.com/films/302-jeanne-dielman-23-quai-du-commerce-1080-bruxelles
"Kill!",763,kill,https://www.criterion.com/films/763-kill
"Le petit soldat",28093,le-petit-soldat,https://www.criterion.com/films/28093-le-petit-soldat
"Lone Wolf and Cub: Baby Cart to Hades",28724,lone-wolf-and-cub-baby-cart-to-hades,https://www.criterion.com/films/28724-lone-wolf-and-cub-baby-cart-to-hades
"Love Is Colder Than Death",27959,love-is-colder-than-death,https://www.criterion.com/films/27959-love-is-colder-than-death
"Mahjong",34090,mahjong,https://www.criterion.com/films/34090-mahjong
"Major Barbara",9904,major-barbara,https://www.criterion.com/films/9904-major-barbara
"Marius",28857,marius,https://www.criterion.com/films/28857-marius
"Mother",29661,mother,https://www.criterion.com/films/29661-mother
"Mr. Freedom",903,mr-freedom,https://www.criterion.com/films/903-mr-freedom
"Night Games",30380,night-games,https://www.criterion.com/films/30380-night-games
"No Bears",33531,no-bears,https://www.criterion.com/films/33531-no-bears
"No Blood Relation",27545,no-blood-relation,https://www.criterion.com/films/27545-no-blood-relation
"No More Excuses",27940,no-more-excuses,https://www.criterion.com/films/27940-no-more-excuses
"Ordet",441,ordet,https://www.criterion.com/films/441-ordet
"Ornamental Hairpin",1089,ornamental-hairpin,https://www.criterion.com/films/1089-ornamental-hairpin
"Pierrot le fou",149,pierrot-le-fou,https://www.criterion.com/films/149-pierrot-le-fou
"Place de la République",672,place-de-la-republique,https://www.criterion.com/films/672-place-de-la-republique
"PlayTime",651,playtime,https://www.criterion.com/films/651-playtime
"Porcile",32392,porcile,https://www.criterion.com/films/32392-porcile
"Rembrandt",1437,rembrandt,https://www.criterion.com/films/1437-rembrandt
"Resurrection",35491,resurrection,https://www.criterion.com/films/35491-resurrection
"Shoeshine",34329,shoeshine,https://www.criterion.com/films/34329-shoeshine
"Stowaway in the Sky",31470,stowaway-in-the-sky,https://www.criterion.com/films/31470-stowaway-in-the-sky
"Streetwise",29631,streetwise,https://www.criterion.com/films/29631-streetwise
"Summer Interlude",27782,summer-interlude,https://www.criterion.com/films/27782-summer-interlude
"Sweet Sweetback’s Baadasssss Song",32000,sweet-sweetback-s-baadasssss-song,https://www.criterion.com/films/32000-sweet-sweetback-s-baadasssss-song
"The Bad Sleep Well",765,the-bad-sleep-well,https://www.criterion.com/films/765-the-bad-sleep-well
"The Flowers of St. Francis",874,the-flowers-of-st-francis,https://www.criterion.com/films/874-the-flowers-of-st-francis
"The Game",28058,the-game,https://www.criterion.com/films/28058-the-game
"The Harder They Come",623,the-harder-they-come,https://www.criterion.com/films/623-the-harder-they-come
"The Horse’s Mouth",695,the-horse-s-mouth,https://www.criterion.com/films/695-the-horse-s-mouth
"The Love That Remains",35305,the-love-that-remains,https://www.criterion.com/films/35305-the-love-that-remains
"The Masseurs and a Woman",1088,the-masseurs-and-a-woman,https://www.criterion.com/films/1088-the-masseurs-and-a-woman
"The Most Beautiful",18790,the-most-beautiful,https://www.criterion.com/films/18790-the-most-beautiful
"The Mother and the Whore",33280,the-mother-and-the-whore,https://www.criterion.com/films/33280-the-mother-and-the-whore
"The Naked City",818,the-naked-city,https://www.criterion.com/films/818-the-naked-city
"The Naked Kiss",533,the-naked-kiss,https://www.criterion.com/films/533-the-naked-kiss
"The Phantom Carriage",27630,the-phantom-carriage,https://www.criterion.com/films/27630-the-phantom-carriage
"The Shooting",28580,the-shooting,https://www.criterion.com/films/28580-the-shooting
"The Traveler",29514,the-traveler,https://www.criterion.com/films/29514-the-traveler
"The Vanishing",677,the-vanishing,https://www.criterion.com/films/677-the-vanishing
"The Young Girls of Rochefort",28615,the-young-girls-of-rochefort,https://www.criterion.com/films/28615-the-young-girls-of-rochefort
"Touki bouki",28412,touki-bouki,https://www.criterion.com/films/28412-touki-bouki
"Walk Cheerfully",28218,walk-cheerfully,https://www.criterion.com/films/28218-walk-cheerfully
"Welcome II the Terrordome",31102,welcome-ii-the-terrordome,https://www.criterion.com/films/31102-welcome-ii-the-terrordome
"West Indies: The Fugitive Slaves of Liberty",33846,west-indies-the-fugitive-slaves-of-liberty,https://www.criterion.com/films/33846-west-indies-the-fugitive-slaves-of-liberty
"Zatoichi Goes to the Fire Festival",28584,zatoichi-goes-to-the-fire-festival,https://www.criterion.com/films/28584-zatoichi-goes-to-the-fire-festival
"24 Frames",29399,24-frames,https://www.criterion.com/films/29399-24-frames
"A Generation",921,a-generation,https://www.criterion.com/films/921-a-generation
"A Story of Floating Weeds",752,a-story-of-floating-weeds,https://www.criterion.com/films/752-a-story-of-floating-weeds
"Adoption",31237,adoption,https://www.criterion.com/films/31237-adoption
"An Angel at My Table",742,an-angel-at-my-table,https://www.criterion.com/films/742-an-angel-at-my-table
"Beware of a Holy Whore",27952,beware-of-a-holy-whore,https://www.criterion.com/films/27952-beware-of-a-holy-whore
"Black River",28235,black-river,https://www.criterion.com/films/28235-black-river
"Border Radio",802,border-radio,https://www.criterion.com/films/802-border-radio
"Casque d’or",942,casque-d-or,https://www.criterion.com/films/942-casque-d-or
"Certain Women",29212,certain-women,https://www.criterion.com/films/29212-certain-women
"Chimes at Midnight",28756,chimes-at-midnight,https://www.criterion.com/films/28756-chimes-at-midnight
"Dying at Grace",27517,dying-at-grace,https://www.criterion.com/films/27517-dying-at-grace
"Fighting Elegy",945,fighting-elegy,https://www.criterion.com/films/945-fighting-elegy
"Foreign Correspondent",27692,foreign-correspondent,https://www.criterion.com/films/27692-foreign-correspondent
"Forever a Woman",32757,forever-a-woman,https://www.criterion.com/films/32757-forever-a-woman
"Gertrud",443,gertrud,https://www.criterion.com/films/443-gertrud
"Here Is Your Life",28552,here-is-your-life,https://www.criterion.com/films/28552-here-is-your-life
"In Vanda’s Room",20820,in-vanda-s-room,https://www.criterion.com/films/20820-in-vanda-s-room
"Infernal Affairs II",32454,infernal-affairs-ii,https://www.criterion.com/films/32454-infernal-affairs-ii
"Japón",28770,japon,https://www.criterion.com/films/28770-japon
"Journey to the Beginning of Time",30226,journey-to-the-beginning-of-time,https://www.criterion.com/films/30226-journey-to-the-beginning-of-time
"Jubilation Street",27837,jubilation-street,https://www.criterion.com/films/27837-jubilation-street
"Killer of Sheep",34233,killer-of-sheep,https://www.criterion.com/films/34233-killer-of-sheep
"La Llorona",33103,la-llorona,https://www.criterion.com/films/33103-la-llorona
"La bête humaine",773,la-bete-humaine,https://www.criterion.com/films/773-la-bete-humaine
"Last Hurrah for Chivalry",29546,last-hurrah-for-chivalry,https://www.criterion.com/films/29546-last-hurrah-for-chivalry
"Louie Bluie",27509,louie-bluie,https://www.criterion.com/films/27509-louie-bluie
"Love Affair",32533,love-affair,https://www.criterion.com/films/32533-love-affair
"Love Under the Crucifix",31096,love-under-the-crucifix,https://www.criterion.com/films/31096-love-under-the-crucifix
"Loves of a Blonde",246,loves-of-a-blonde,https://www.criterion.com/films/246-loves-of-a-blonde
"L’avventura",209,l-avventura,https://www.criterion.com/films/209-l-avventura
"M",558,m,https://www.criterion.com/films/558-m
"Man Bites Dog",718,man-bites-dog,https://www.criterion.com/films/718-man-bites-dog
"Mon oncle",650,mon-oncle,https://www.criterion.com/films/650-mon-oncle
"My Dinner with André",1093,my-dinner-with-andre,https://www.criterion.com/films/1093-my-dinner-with-andre
"My Winnipeg",27969,my-winnipeg,https://www.criterion.com/films/27969-my-winnipeg
"Paris Is Burning",29647,paris-is-burning,https://www.criterion.com/films/29647-paris-is-burning
"Picnic at Hanging Rock",565,picnic-at-hanging-rock,https://www.criterion.com/films/565-picnic-at-hanging-rock
"Rome Open City",975,rome-open-city,https://www.criterion.com/films/975-rome-open-city
"Sambizanga",33101,sambizanga,https://www.criterion.com/films/33101-sambizanga
"Scanners",28043,scanners,https://www.criterion.com/films/28043-scanners
"Smithereens",29044,smithereens,https://www.criterion.com/films/29044-smithereens
"The 400 Blows",151,the-400-blows,https://www.criterion.com/films/151-the-400-blows
"The Delta",32316,the-delta,https://www.criterion.com/films/32316-the-delta
"The Flavor of Green Tea over Rice",28229,the-flavor-of-green-tea-over-rice,https://www.criterion.com/films/28229-the-flavor-of-green-tea-over-rice
"The Freshman",28510,the-freshman,https://www.criterion.com/films/28510-the-freshman
"The Hit",1285,the-hit,https://www.criterion.com/films/1285-the-hit
"The Importance of Being Earnest",355,the-importance-of-being-earnest,https://www.criterion.com/films/355-the-importance-of-being-earnest
"The Living Magoroku",27863,the-living-magoroku,https://www.criterion.com/films/27863-the-living-magoroku
"The Mikado",27551,the-mikado,https://www.criterion.com/films/27551-the-mikado
"The Milky Way",832,the-milky-way,https://www.criterion.com/films/832-the-milky-way
"The Music Room",27657,the-music-room,https://www.criterion.com/films/27657-the-music-room
"The Naked Island",27774,the-naked-island,https://www.criterion.com/films/27774-the-naked-island
"The Only Son",2606,the-only-son,https://www.criterion.com/films/2606-the-only-son
"The Piano Teacher",28739,the-piano-teacher,https://www.criterion.com/films/28739-the-piano-teacher
"The Red Shoes",233,the-red-shoes,https://www.criterion.com/films/233-the-red-shoes
"The Seventh Seal",173,the-seventh-seal,https://www.criterion.com/films/173-the-seventh-seal
"The Soft Skin",27640,the-soft-skin,https://www.criterion.com/films/27640-the-soft-skin
"The Thin Blue Line",28355,the-thin-blue-line,https://www.criterion.com/films/28355-the-thin-blue-line
"Thirty Two Short Films About Glenn Gould",27915,thirty-two-short-films-about-glenn-gould,https://www.criterion.com/films/27915-thirty-two-short-films-about-glenn-gould
"This Happy Breed",28144,this-happy-breed,https://www.criterion.com/films/28144-this-happy-breed
"This Sporting Life",853,this-sporting-life,https://www.criterion.com/films/853-this-sporting-life
"Twin Peaks: Fire Walk with Me",29237,twin-peaks-fire-walk-with-me,https://www.criterion.com/films/29237-twin-peaks-fire-walk-with-me
"Tótem",33900,totem,https://www.criterion.com/films/33900-totem
"Watership Down",28620,watership-down,https://www.criterion.com/films/28620-watership-down
"Where Is the Friend’s House?",28638,where-is-the-friend-s-house,https://www.criterion.com/films/28638-where-is-the-friend-s-house
"Wings",560,wings,https://www.criterion.com/films/560-wings
"Yam daabo",35104,yam-daabo,https://www.criterion.com/films/35104-yam-daabo
"Zatoichi Meets the One-Armed Swordsman",28585,zatoichi-meets-the-one-armed-swordsman,https://www.criterion.com/films/28585-zatoichi-meets-the-one-armed-swordsman
"Zatoichi the Fugitive",28303,zatoichi-the-fugitive,https://www.criterion.com/films/28303-zatoichi-the-fugitive
"4 Months, 3 Weeks and 2 Days",28617,4-months-3-weeks-and-2-days,https://www.criterion.com/films/28617-4-months-3-weeks-and-2-days
"A Married Couple",27515,a-married-couple,https://www.criterion.com/films/27515-a-married-couple
"A Story from Chikamatsu",28160,a-story-from-chikamatsu,https://www.criterion.com/films/28160-a-story-from-chikamatsu
"Accattone",31431,accattone,https://www.criterion.com/films/31431-accattone
"As Long as You’ve Got Your Health",28399,as-long-as-you-ve-got-your-health,https://www.criterion.com/films/28399-as-long-as-you-ve-got-your-health
"Big Deal on Madonna Street",652,big-deal-on-madonna-street,https://www.criterion.com/films/652-big-deal-on-madonna-street
"Blithe Spirit",28156,blithe-spirit,https://www.criterion.com/films/28156-blithe-spirit
"Caesar and Cleopatra",11334,caesar-and-cleopatra,https://www.criterion.com/films/11334-caesar-and-cleopatra
"Ceddo",29071,ceddo,https://www.criterion.com/films/29071-ceddo
