imdb_tconst,genres
tt0056443,"Action,Drama,Thriller"
tt0056444,Drama
tt0056512,"Adventure,Comedy,Drama"
tt0056514,Comedy
tt0056562,"Action,Crime,Drama"
tt0056636,"Comedy,Drama"
tt0056663,Drama
tt0056667,"Adventure,Family"
tt0056680,"Comedy,Drama"
tt0056714,"Action,Adventure,Drama"
tt0056732,"Drama,Fantasy"
tt0056736,"Drama,Romance"
tt0056801,Drama
tt0056844,"Comedy,Family,Fantasy"
tt0056845,"Adventure,Crime,Drama"
tt0056846,"Drama,Romance"
tt0056854,Drama
tt0056905,"Comedy,Drama,War"
tt0056919,"Comedy,Drama"
tt0056945,"Drama,History"
tt0057058,Drama
tt0057076,"Action,Adventure,Thriller"
tt0057171,"Comedy,Romance"
tt0057207,"Crime,Drama,Romance"
tt0057215,"Adventure,Fantasy,Sci-Fi"
tt0057237,Drama
tt0057238,"Crime,Drama"
tt0057261,"Adventure,Drama,Thriller"
tt0057277,Drama
tt0057286,Drama
tt0057295,"Horror,Mystery,Sci-Fi"
tt0057336,Drama
tt0057344,"Crime,Drama,Romance"
tt0057357,"Action,Adventure,Biography"
tt0057358,Drama
tt0057363,Drama
tt0057374,Drama
tt0057427,"Drama,Mystery,Thriller"
tt0057468,Adventure
tt0057494,"Drama,War"
tt0057495,"Drama,Mystery,Thriller"
tt0057503,"Action,Adventure,Drama"
tt0057565,"Crime,Drama,Mystery"
tt0057578,"Drama,Sport"
tt0057590,"Adventure,Comedy,History"
tt0057611,Drama
tt0057632,Comedy
tt0057643,"Comedy,Drama"
tt0057697,"Action,Crime,Mystery"
tt0057710,"Action,Comedy,Drama"
tt0057714,"Action,Adventure,Drama"
tt0057715,"Action,Adventure,Drama"
tt0057829,Drama
tt0057935,"Drama,Romance"
tt0058001,"Drama,War"
tt0058003,Drama
tt0058006,"Adventure,Crime,Drama"
tt0058022,"Comedy,Family"
tt0058124,Comedy
tt0058138,"Drama,Romance"
tt0058142,"Drama,Romance"
tt0058150,"Action,Adventure,Thriller"
tt0058182,"Comedy,Musical"
tt0058259,Drama
tt0058279,"Drama,Fantasy,Horror"
tt0058335,"Comedy,Drama,Romance"
tt0058349,"Drama,Romance"
tt0058379,"Adventure,Fantasy,Sci-Fi"
tt0058390,"Crime,Drama"
tt0058409,Drama
tt0058414,"Drama,Romance"
tt0058430,"Drama,Horror,Thriller"
tt0058450,"Drama,Musical,Romance"
tt0058458,"Drama,Romance"
tt1065073,Drama
tt1248984,"Action,Crime,Drama"
tt2190367,"Drama,Thriller"
tt27502360,Drama
tt27590147,"Crime,Drama,Mystery"
tt2762506,"Action,Adventure,Drama"
tt2764784,"Drama,History,Music"
tt27656132,"Music,Romance"
tt30810787,"Comedy,Drama,Romance"
tt30810792,"Comedy,Drama,Romance"
tt3091286,Drama
tt3544082,"Drama,Romance"
tt6423776,"Comedy,Drama,Romance"
tt8185182,"Drama,Mystery,Romance"
tt0808526,"Comedy,Drama"
tt0809407,"Comedy,Drama"
tt0838221,"Adventure,Comedy,Drama"
tt0869977,"Drama,Romance"
tt11380884,"Drama,Music,Romance"
tt12958702,Action
tt14641542,Drama
tt1470024,"Drama,Romance"
tt29893103,"Biography,Drama"
tt0929425,"Crime,Drama"
tt0963178,"Action,Crime,Drama"
tt0970935,"Comedy,Drama"
tt0984130,"Comedy,Drama,Romance"
tt0986233,"Biography,Crime,Drama"
tt0990404,Drama
tt1322903,"Comedy,Drama"
tt13231544,Drama
tt14906708,Drama
tt16279390,Drama
tt19841734,"Comedy,Crime,Romance"
tt2006181,"Comedy,Fantasy"
tt2452254,Drama
tt2963262,"Biography,Drama,History"
tt33381401,"Comedy,Drama,Family"
tt33398096,"Biography,Crime,Drama"
tt4466490,"Comedy,Drama"
tt4468634,Drama
tt0318025,"Comedy,Drama"
tt0318069,"Drama,Mystery,Thriller"
tt0318346,"Drama,Romance"
tt0319836,"Drama,History"
tt0322824,Drama
tt0328802,Drama
tt0329429,Drama
tt0330536,"Action,Crime"
tt0338564,"Crime,Drama,Mystery"
tt0348529,Drama
tt0360839,"Drama,Romance"
tt0360946,"Crime,Drama"
tt0366668,Drama
tt0369060,"Action,Crime,Drama"
tt0373450,"Crime,Mystery,Thriller"
tt0374262,"Animation,Comedy,Drama"
tt0374339,"Action,Crime,Drama"
tt0379217,"Comedy,Drama,Music"
tt0381392,"Drama,Romance"
tt0383020,"Comedy,Crime,Drama"
tt0385202,"Drama,Romance,War"
tt0391483,Drama
tt0398883,"Crime,Drama,Romance"
tt0405861,"Crime,Drama,Mystery"
tt0407929,"Drama,Romance"
tt0411270,"Crime,Drama,Music"
tt0415380,Drama
tt0415906,"Action,Adventure,Animation"
tt0415978,"Comedy,Drama"
tt0417214,"Comedy,Drama,Romance"
tt12564514,"Drama,Romance"
tt14407336,"Drama,Romance,Sci-Fi"
tt16022080,Drama
tt2017464,"Crime,Drama,Thriller"
tt20205236,"Drama,Romance"
tt20212786,"Drama,Horror,Sci-Fi"
tt2035630,Drama
tt24121692,"Drama,History,Thriller"
tt29002950,"Drama,Sci-Fi"
tt32828123,"Action,Drama,Horror"
tt36456563,"Adventure,Biography,Drama"
tt4288356,Comedy
tt0211941,Drama
tt0212016,Drama
tt0212772,Romance
tt0216386,"Drama,Thriller"
tt0216605,"Drama,Music,Romance"
tt0216625,Drama
tt0218817,"Action,Crime,Drama"
tt0219058,Drama
tt0223027,"Drama,History,Romance"
tt0226737,"Crime,Drama,Mystery"
tt0227858,"Crime,Drama,Mystery"
tt0229519,"Crime,Drama,Musical"
tt0232951,Drama
tt0234932,
tt0240419,"Comedy,Drama"
tt0243255,Drama
tt0244316,Drama
