cluster,imdb_tconst,title,year,imdb_link,color_or_bw
modern_american_cinema,tt0112364,Angela,1995,https://www.imdb.com/title/tt0112364/,
modern_american_cinema,tt0211941,Beat,2000,https://www.imdb.com/title/tt0211941/,
modern_american_cinema,tt0169606,Beyond the Law,1968,https://www.imdb.com/title/tt0169606/,
modern_american_cinema,tt0085279,Bullshot,1983,https://www.imdb.com/title/tt0085279/,
modern_american_cinema,tt0082117,Burning an Illusion,1981,https://www.imdb.com/title/tt0082117/,
modern_american_cinema,tt0138355,Chafed Elbows,1966,https://www.imdb.com/title/tt0138355/,
modern_american_cinema,tt0099286,Cold Dog Soup,1990,https://www.imdb.com/title/tt0099286/,
modern_american_cinema,tt0117394,Deep Crimson,1996,https://www.imdb.com/title/tt0117394/,
modern_american_cinema,tt0069996,Don’t Play Us Cheap,1972,https://www.imdb.com/title/tt0069996/,
modern_american_cinema,tt15239678,Dune: Part Two,2024,https://www.imdb.com/title/tt15239678/,
modern_american_cinema,tt0116261,Eye of God,1997,https://www.imdb.com/title/tt0116261/,
modern_american_cinema,tt11380884,Farewell Amor,2020,https://www.imdb.com/title/tt11380884/,
modern_american_cinema,tt0970935,Frownland,2007,https://www.imdb.com/title/tt0970935/,
modern_american_cinema,tt31055572,Gunbuster: The Movie,2006,https://www.imdb.com/title/tt31055572/,
modern_american_cinema,tt0095310,"Histoires d’Amérique: Food, Family and Philosophy",1989,https://www.imdb.com/title/tt0095310/,
modern_american_cinema,tt38060097,Joan of Arc,2025,https://www.imdb.com/title/tt38060097/,
modern_american_cinema,tt2584384,Jojo Rabbit,2019,https://www.imdb.com/title/tt2584384/,
modern_american_cinema,tt2963262,Limonov: The Ballad,2024,https://www.imdb.com/title/tt2963262/,
modern_american_cinema,tt36456563,Magellan,2025,https://www.imdb.com/title/tt36456563/,
modern_american_cinema,tt0064625,Maidstone,1970,https://www.imdb.com/title/tt0064625/,
modern_american_cinema,tt0251300,No More Excuses,1968,https://www.imdb.com/title/tt0251300/,
modern_american_cinema,tt0091971,Sleepwalk,1986,https://www.imdb.com/title/tt0091971/,
modern_american_cinema,tt0056667,Stowaway in the Sky,1960,https://www.imdb.com/title/tt0056667/,
modern_american_cinema,tt12958702,The Hand,2004,https://www.imdb.com/title/tt12958702/,
modern_american_cinema,tt0427550,Two Tons of Turquoise to Taos Tonight,1975,https://www.imdb.com/title/tt0427550/,
modern_american_cinema,tt0090251,Variety,1983,https://www.imdb.com/title/tt0090251/,
modern_american_cinema,tt6266538,Vice,2018,https://www.imdb.com/title/tt6266538/,
modern_american_cinema,tt0069489,Wedding in White,1972,https://www.imdb.com/title/tt0069489/,
