cluster,director,tmdb_person_id,filename,gallery_url,image_url,content_type,size_bytes,status
European Art Cinema,Bertrand Tavernier,20556,bertrand_tavernier.jpg,https://www.themoviedb.org/person/20556/images/profiles,https://image.tmdb.org/t/p/original/uTGywwLxJuriOEEsRPuCAMVbWqR.jpg,image/jpeg,58798,downloaded
European Art Cinema,Carlos Saura,96369,carlos_saura.jpg,https://www.themoviedb.org/person/96369/images/profiles,https://image.tmdb.org/t/p/original/jl9f6AiXClspedvewZ2akbhGoQG.jpg,image/jpeg,193707,downloaded
European Art Cinema,François Truffaut,1650,francois_truffaut.jpg,https://www.themoviedb.org/person/1650/images/profiles,https://image.tmdb.org/t/p/original/3bXLtipaybsje01LlQvHvuUAZNq.jpg,image/jpeg,257707,downloaded
European Art Cinema,Jacques Rivette,73153,jacques_rivette.jpg,https://www.themoviedb.org/person/73153/images/profiles,https://image.tmdb.org/t/p/original/rJVyIQcU8CcCkWOuThhY1g5SrSh.jpg,image/jpeg,301488,downloaded
European Art Cinema,Jean-Luc Godard,3776,jean_luc_godard.jpg,https://www.themoviedb.org/person/3776/images/profiles,https://image.tmdb.org/t/p/original/zP5EDY5MstfkdBmPXNCj8Y6v5KR.jpg,image/jpeg,295798,downloaded
European Art Cinema,Krzysztof Kieślowski,1126,krzysztof_kieslowski.jpg,https://www.themoviedb.org/person/1126/images/profiles,https://image.tmdb.org/t/p/original/vOgq6ojWQturbj0XLL9ryBL0V4r.jpg,image/jpeg,81968,downloaded
Japanese Cinema,Akira Kurosawa,5026,akira_kurosawa.jpg,https://www.themoviedb.org/person/5026/images/profiles,https://image.tmdb.org/t/p/original/g2iwSho2vJxVz7cbD1FAKAmPD6A.jpg,image/jpeg,350143,downloaded
Japanese Cinema,Ishirō Honda,18598,ishiro_honda.jpg,https://www.themoviedb.org/person/18598/images/profiles,https://image.tmdb.org/t/p/original/2b0f1J1ineDGWwyzkrUbU1tzJhG.jpg,image/jpeg,33868,downloaded
Japanese Cinema,Keisuke Kinoshita,587603,keisuke_kinoshita.jpg,https://www.themoviedb.org/person/587603/images/profiles,https://image.tmdb.org/t/p/original/27amgveVP79VyG8swdJU9lZu9v9.jpg,image/jpeg,29826,downloaded
Japanese Cinema,Masahiro Shinoda,133518,masahiro_shinoda.jpg,https://www.themoviedb.org/person/133518/images/profiles,https://image.tmdb.org/t/p/original/q7mG2DUcIJ8O2fKPvPjBsoy4z5D.jpg,image/jpeg,32634,downloaded
